team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Red Wings,away,D,Bowen Byram D,17:32,1,0,0,4,1,0,0,2,0/0
Sabres,Red Wings,away,D,Connor Clifton D,20:16,0,0,1,0,2,0,0,1,0/0
Sabres,Red Wings,away,D,Rasmus Dahlin D,23:33,0,3,0,1,4,0,0,1,0/0
Sabres,Red Wings,away,D,Henri Jokiharju D,18:59,0,0,1,2,0,0,0,0,0/0
Sabres,Red Wings,away,D,Owen Power D,10:37,0,1,0,2,1,0,0,1,0/0
Sabres,Red Wings,away,D,Mattias Samuelsson D,22:29,0,0,1,4,0,0,0,2,0/0
Sabres,Red Wings,away,D,Bowen Byram D,17:32,1,0,0,4,1,0,0,2,0/0
Sabres,Red Wings,away,D,Connor Clifton D,20:16,0,0,1,0,2,0,0,1,0/0
Sabres,Red Wings,away,D,Rasmus Dahlin D,23:33,0,3,0,1,4,0,0,1,0/0
Sabres,Red Wings,away,D,Henri Jokiharju D,18:59,0,0,1,2,0,0,0,0,0/0
Sabres,Red Wings,away,D,Owen Power D,10:37,0,1,0,2,1,0,0,1,0/0
Sabres,Red Wings,away,D,Mattias Samuelsson D,22:29,0,0,1,4,0,0,0,2,0/0
Sabres,Red Wings,away,F,Dylan Cozens C,17:52,0,1,1,2,1,2,0,2,6/18
Sabres,Red Wings,away,F,Jordan Greenway L,17:39,0,0,-1,2,2,0,0,0,0/0
Sabres,Red Wings,away,F,Peyton Krebs C,12:52,0,0,-1,2,0,0,0,0,5/13
Sabres,Red Wings,away,F,Jiri Kulich C,11:29,0,0,0,2,0,0,0,0,0/0
Sabres,Red Wings,away,F,Sam Lafferty C,08:52,0,0,0,0,0,2,0,0,0/0
Sabres,Red Wings,away,F,Beck Malenstyn L,07:54,0,0,0,2,1,0,0,0,1/1
Sabres,Red Wings,away,F,Ryan McLeod C,14:27,0,0,-1,0,1,0,1,1,5/17
Sabres,Red Wings,away,F,JJ Peterka R,21:36,0,1,2,0,0,0,0,1,0/0
Sabres,Red Wings,away,F,Jack Quinn R,14:25,1,0,1,3,0,0,0,2,0/0
Sabres,Red Wings,away,F,Tage Thompson C,18:36,2,1,1,6,0,0,0,0,3/13
Sabres,Red Wings,away,F,Alex Tuch R,20:09,0,0,1,5,2,0,1,0,3/9
Sabres,Red Wings,away,F,Jason Zucker L,16:43,1,0,-1,2,1,0,0,3,1/2
Sabres,Red Wings,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Red Wings,away,F,Bowen Byram D,17:32,1,0,0,4,1,0,0,2,0/0
Sabres,Red Wings,away,F,Connor Clifton D,20:16,0,0,1,0,2,0,0,1,0/0
Sabres,Red Wings,away,F,Rasmus Dahlin D,23:33,0,3,0,1,4,0,0,1,0/0
Sabres,Red Wings,away,F,Henri Jokiharju D,18:59,0,0,1,2,0,0,0,0,0/0
Sabres,Red Wings,away,F,Owen Power D,10:37,0,1,0,2,1,0,0,1,0/0
Sabres,Red Wings,away,F,Mattias Samuelsson D,22:29,0,0,1,4,0,0,0,2,0/0
Sabres,Red Wings,away,F,Dylan Cozens C,17:52,0,1,1,2,1,2,0,2,6/18
Sabres,Red Wings,away,F,Jordan Greenway L,17:39,0,0,-1,2,2,0,0,0,0/0
Sabres,Red Wings,away,F,Peyton Krebs C,12:52,0,0,-1,2,0,0,0,0,5/13
Sabres,Red Wings,away,F,Jiri Kulich C,11:29,0,0,0,2,0,0,0,0,0/0
Sabres,Red Wings,away,F,Sam Lafferty C,08:52,0,0,0,0,0,2,0,0,0/0
Sabres,Red Wings,away,F,Beck Malenstyn L,07:54,0,0,0,2,1,0,0,0,1/1
Sabres,Red Wings,away,F,Ryan McLeod C,14:27,0,0,-1,0,1,0,1,1,5/17
Sabres,Red Wings,away,F,JJ Peterka R,21:36,0,1,2,0,0,0,0,1,0/0
Sabres,Red Wings,away,F,Jack Quinn R,14:25,1,0,1,3,0,0,0,2,0/0
Sabres,Red Wings,away,F,Tage Thompson C,18:36,2,1,1,6,0,0,0,0,3/13
Sabres,Red Wings,away,F,Alex Tuch R,20:09,0,0,1,5,2,0,1,0,3/9
Sabres,Red Wings,away,F,Jason Zucker L,16:43,1,0,-1,2,1,0,0,3,1/2
Sabres,Red Wings,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Red Wings,away,F,Bowen Byram D,17:32,1,0,0,4,1,0,0,2,0/0
Sabres,Red Wings,away,F,Connor Clifton D,20:16,0,0,1,0,2,0,0,1,0/0
Sabres,Red Wings,away,F,Rasmus Dahlin D,23:33,0,3,0,1,4,0,0,1,0/0
Sabres,Red Wings,away,F,Henri Jokiharju D,18:59,0,0,1,2,0,0,0,0,0/0
Sabres,Red Wings,away,F,Owen Power D,10:37,0,1,0,2,1,0,0,1,0/0
Sabres,Red Wings,away,F,Mattias Samuelsson D,22:29,0,0,1,4,0,0,0,2,0/0
