team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Red Wings,home,D,Jacob Bryson D,13:34,0,0,0,0,2,0,1,1,0/0
Sabres,Red Wings,home,D,Bowen Byram D,24:24,0,0,1,1,1,0,0,1,0/0
Sabres,Red Wings,home,D,Rasmus Dahlin D,27:33,0,0,0,4,1,0,0,0,0/0
Sabres,Red Wings,home,D,Henri Jokiharju D,16:16,0,0,1,0,2,0,0,2,0/0
Sabres,Red Wings,home,D,Owen Power D,21:04,0,0,0,1,3,2,1,0,0/0
Sabres,Red Wings,home,D,Mattias Samuelsson D,13:54,0,0,0,1,1,0,0,3,0/0
Sabres,Red Wings,home,D,Jacob Bryson D,13:34,0,0,0,0,2,0,1,1,0/0
Sabres,Red Wings,home,D,Bowen Byram D,24:24,0,0,1,1,1,0,0,1,0/0
Sabres,Red Wings,home,D,Rasmus Dahlin D,27:33,0,0,0,4,1,0,0,0,0/0
Sabres,Red Wings,home,D,Henri Jokiharju D,16:16,0,0,1,0,2,0,0,2,0/0
Sabres,Red Wings,home,D,Owen Power D,21:04,0,0,0,1,3,2,1,0,0/0
Sabres,Red Wings,home,D,Mattias Samuelsson D,13:54,0,0,0,1,1,0,0,3,0/0
Sabres,Red Wings,home,F,Dylan Cozens C,15:47,0,0,0,3,1,0,0,0,6/17
Sabres,Red Wings,home,F,Jordan Greenway L,12:41,0,0,0,2,2,2,0,0,0/0
Sabres,Red Wings,home,F,Peyton Krebs C,12:55,0,0,0,0,1,0,0,0,4/7
Sabres,Red Wings,home,F,Jiri Kulich C,14:28,0,0,0,1,0,0,0,0,0/1
Sabres,Red Wings,home,F,Sam Lafferty C,09:31,0,0,0,1,1,0,0,0,0/1
Sabres,Red Wings,home,F,Beck Malenstyn L,10:06,0,0,0,2,0,2,0,1,0/0
Sabres,Red Wings,home,F,Ryan McLeod C,12:11,0,0,1,0,1,0,0,2,6/10
Sabres,Red Wings,home,F,JJ Peterka R,19:16,0,0,0,4,0,0,0,0,0/0
Sabres,Red Wings,home,F,Jack Quinn R,16:10,0,0,0,2,0,2,0,1,0/0
Sabres,Red Wings,home,F,Tage Thompson C,20:45,0,0,0,2,1,0,0,1,6/20
Sabres,Red Wings,home,F,Alex Tuch R,21:58,1,0,1,5,5,0,3,0,1/2
Sabres,Red Wings,home,F,Jason Zucker L,17:17,0,0,0,3,0,0,0,1,0/0
Sabres,Red Wings,home,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Red Wings,home,F,Jacob Bryson D,13:34,0,0,0,0,2,0,1,1,0/0
Sabres,Red Wings,home,F,Bowen Byram D,24:24,0,0,1,1,1,0,0,1,0/0
Sabres,Red Wings,home,F,Rasmus Dahlin D,27:33,0,0,0,4,1,0,0,0,0/0
Sabres,Red Wings,home,F,Henri Jokiharju D,16:16,0,0,1,0,2,0,0,2,0/0
Sabres,Red Wings,home,F,Owen Power D,21:04,0,0,0,1,3,2,1,0,0/0
Sabres,Red Wings,home,F,Mattias Samuelsson D,13:54,0,0,0,1,1,0,0,3,0/0
Sabres,Red Wings,home,F,Dylan Cozens C,15:47,0,0,0,3,1,0,0,0,6/17
Sabres,Red Wings,home,F,Jordan Greenway L,12:41,0,0,0,2,2,2,0,0,0/0
Sabres,Red Wings,home,F,Peyton Krebs C,12:55,0,0,0,0,1,0,0,0,4/7
Sabres,Red Wings,home,F,Jiri Kulich C,14:28,0,0,0,1,0,0,0,0,0/1
Sabres,Red Wings,home,F,Sam Lafferty C,09:31,0,0,0,1,1,0,0,0,0/1
Sabres,Red Wings,home,F,Beck Malenstyn L,10:06,0,0,0,2,0,2,0,1,0/0
Sabres,Red Wings,home,F,Ryan McLeod C,12:11,0,0,1,0,1,0,0,2,6/10
Sabres,Red Wings,home,F,JJ Peterka R,19:16,0,0,0,4,0,0,0,0,0/0
Sabres,Red Wings,home,F,Jack Quinn R,16:10,0,0,0,2,0,2,0,1,0/0
Sabres,Red Wings,home,F,Tage Thompson C,20:45,0,0,0,2,1,0,0,1,6/20
Sabres,Red Wings,home,F,Alex Tuch R,21:58,1,0,1,5,5,0,3,0,1/2
Sabres,Red Wings,home,F,Jason Zucker L,17:17,0,0,0,3,0,0,0,1,0/0
Sabres,Red Wings,home,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Red Wings,home,F,Jacob Bryson D,13:34,0,0,0,0,2,0,1,1,0/0
Sabres,Red Wings,home,F,Bowen Byram D,24:24,0,0,1,1,1,0,0,1,0/0
Sabres,Red Wings,home,F,Rasmus Dahlin D,27:33,0,0,0,4,1,0,0,0,0/0
Sabres,Red Wings,home,F,Henri Jokiharju D,16:16,0,0,1,0,2,0,0,2,0/0
Sabres,Red Wings,home,F,Owen Power D,21:04,0,0,0,1,3,2,1,0,0/0
Sabres,Red Wings,home,F,Mattias Samuelsson D,13:54,0,0,0,1,1,0,0,3,0/0
