team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Canadiens,away,D,Jacob Bryson D,19:19,0,0,-2,1,4,0,0,0,0/0
Sabres,Canadiens,away,D,Bowen Byram D,24:31,0,1,3,0,1,4,0,1,0/0
Sabres,Canadiens,away,D,Connor Clifton D,17:45,0,0,0,1,1,2,0,2,0/0
Sabres,Canadiens,away,D,Rasmus Dahlin D,25:24,1,1,0,3,1,2,0,3,0/0
Sabres,Canadiens,away,D,Owen Power D,22:41,0,2,-4,0,3,0,0,0,0/0
Sabres,Canadiens,away,D,Mattias Samuelsson D,06:49,0,0,1,0,0,0,0,1,0/0
Sabres,Canadiens,away,D,Jacob Bryson D,19:19,0,0,-2,1,4,0,0,0,0/0
Sabres,Canadiens,away,D,Bowen Byram D,24:31,0,1,3,0,1,4,0,1,0/0
Sabres,Canadiens,away,D,Connor Clifton D,17:45,0,0,0,1,1,2,0,2,0/0
Sabres,Canadiens,away,D,Rasmus Dahlin D,25:24,1,1,0,3,1,2,0,3,0/0
Sabres,Canadiens,away,D,Owen Power D,22:41,0,2,-4,0,3,0,0,0,0/0
Sabres,Canadiens,away,D,Mattias Samuelsson D,06:49,0,0,1,0,0,0,0,1,0/0
Sabres,Canadiens,away,F,Zach Benson L,13:08,0,0,-1,1,0,2,1,2,0/0
Sabres,Canadiens,away,F,Dylan Cozens C,15:49,1,1,-1,2,1,0,0,0,14/20
Sabres,Canadiens,away,F,Jordan Greenway L,19:10,0,0,-1,0,0,0,1,1,1/2
Sabres,Canadiens,away,F,Peyton Krebs C,13:10,1,0,0,2,0,0,0,0,8/11
Sabres,Canadiens,away,F,Sam Lafferty C,08:29,0,0,-1,1,0,0,0,1,1/1
Sabres,Canadiens,away,F,Beck Malenstyn L,11:44,0,0,1,0,1,0,0,0,0/0
Sabres,Canadiens,away,F,Ryan McLeod C,17:31,0,0,-1,0,0,0,1,0,10/22
Sabres,Canadiens,away,F,JJ Peterka R,17:32,1,0,0,3,0,0,0,0,0/0
Sabres,Canadiens,away,F,Jack Quinn R,14:08,0,0,0,1,1,2,0,0,0/0
Sabres,Canadiens,away,F,Tage Thompson C,06:49,1,0,1,1,0,0,0,0,5/7
Sabres,Canadiens,away,F,Alex Tuch R,20:27,0,2,0,1,0,0,0,1,1/3
Sabres,Canadiens,away,F,Jason Zucker L,14:27,0,0,-1,1,0,0,0,0,0/0
Sabres,Canadiens,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Canadiens,away,F,Jacob Bryson D,19:19,0,0,-2,1,4,0,0,0,0/0
Sabres,Canadiens,away,F,Bowen Byram D,24:31,0,1,3,0,1,4,0,1,0/0
Sabres,Canadiens,away,F,Connor Clifton D,17:45,0,0,0,1,1,2,0,2,0/0
Sabres,Canadiens,away,F,Rasmus Dahlin D,25:24,1,1,0,3,1,2,0,3,0/0
Sabres,Canadiens,away,F,Owen Power D,22:41,0,2,-4,0,3,0,0,0,0/0
Sabres,Canadiens,away,F,Mattias Samuelsson D,06:49,0,0,1,0,0,0,0,1,0/0
Sabres,Canadiens,away,F,Zach Benson L,13:08,0,0,-1,1,0,2,1,2,0/0
Sabres,Canadiens,away,F,Dylan Cozens C,15:49,1,1,-1,2,1,0,0,0,14/20
Sabres,Canadiens,away,F,Jordan Greenway L,19:10,0,0,-1,0,0,0,1,1,1/2
Sabres,Canadiens,away,F,Peyton Krebs C,13:10,1,0,0,2,0,0,0,0,8/11
Sabres,Canadiens,away,F,Sam Lafferty C,08:29,0,0,-1,1,0,0,0,1,1/1
Sabres,Canadiens,away,F,Beck Malenstyn L,11:44,0,0,1,0,1,0,0,0,0/0
Sabres,Canadiens,away,F,Ryan McLeod C,17:31,0,0,-1,0,0,0,1,0,10/22
Sabres,Canadiens,away,F,JJ Peterka R,17:32,1,0,0,3,0,0,0,0,0/0
Sabres,Canadiens,away,F,Jack Quinn R,14:08,0,0,0,1,1,2,0,0,0/0
Sabres,Canadiens,away,F,Tage Thompson C,06:49,1,0,1,1,0,0,0,0,5/7
Sabres,Canadiens,away,F,Alex Tuch R,20:27,0,2,0,1,0,0,0,1,1/3
Sabres,Canadiens,away,F,Jason Zucker L,14:27,0,0,-1,1,0,0,0,0,0/0
Sabres,Canadiens,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Canadiens,away,F,Jacob Bryson D,19:19,0,0,-2,1,4,0,0,0,0/0
Sabres,Canadiens,away,F,Bowen Byram D,24:31,0,1,3,0,1,4,0,1,0/0
Sabres,Canadiens,away,F,Connor Clifton D,17:45,0,0,0,1,1,2,0,2,0/0
Sabres,Canadiens,away,F,Rasmus Dahlin D,25:24,1,1,0,3,1,2,0,3,0/0
Sabres,Canadiens,away,F,Owen Power D,22:41,0,2,-4,0,3,0,0,0,0/0
Sabres,Canadiens,away,F,Mattias Samuelsson D,06:49,0,0,1,0,0,0,0,1,0/0
