team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Blues,away,D,Jacob Bryson D,15:09,0,1,-2,1,2,0,0,1,0/0
Sabres,Blues,away,D,Bowen Byram D,27:35,0,1,2,2,0,0,1,1,0/0
Sabres,Blues,away,D,Connor Clifton D,15:03,0,0,0,1,1,0,0,0,0/0
Sabres,Blues,away,D,Rasmus Dahlin D,27:31,1,0,-1,4,1,0,1,0,0/0
Sabres,Blues,away,D,Dennis Gilbert D,11:24,0,0,0,0,1,0,0,0,0/0
Sabres,Blues,away,D,Owen Power D,23:00,0,1,1,2,1,0,3,1,0/0
Sabres,Blues,away,D,Jacob Bryson D,15:09,0,1,-2,1,2,0,0,1,0/0
Sabres,Blues,away,D,Bowen Byram D,27:35,0,1,2,2,0,0,1,1,0/0
Sabres,Blues,away,D,Connor Clifton D,15:03,0,0,0,1,1,0,0,0,0/0
Sabres,Blues,away,D,Rasmus Dahlin D,27:31,1,0,-1,4,1,0,1,0,0/0
Sabres,Blues,away,D,Dennis Gilbert D,11:24,0,0,0,0,1,0,0,0,0/0
Sabres,Blues,away,D,Owen Power D,23:00,0,1,1,2,1,0,3,1,0/0
Sabres,Blues,away,F,Nicolas Aube-Kubel R,08:39,0,0,0,0,0,0,0,0,1/1
Sabres,Blues,away,F,Zach Benson L,17:21,1,0,2,4,1,0,0,0,1/1
Sabres,Blues,away,F,Dylan Cozens C,19:02,0,0,-2,4,0,0,1,0,5/17
Sabres,Blues,away,F,Jordan Greenway L,13:26,0,0,-1,1,0,0,0,1,0/0
Sabres,Blues,away,F,Peyton Krebs C,16:08,0,1,1,1,1,0,1,1,1/9
Sabres,Blues,away,F,Sam Lafferty C,11:50,0,0,0,2,0,0,0,0,3/6
Sabres,Blues,away,F,Beck Malenstyn L,11:20,0,0,-1,1,2,0,0,0,0/1
Sabres,Blues,away,F,Ryan McLeod C,17:17,1,1,1,1,0,0,2,0,9/21
Sabres,Blues,away,F,JJ Peterka R,18:24,0,1,-1,0,0,0,0,0,0/0
Sabres,Blues,away,F,Jack Quinn R,19:04,0,1,-1,3,0,0,0,0,0/0
Sabres,Blues,away,F,Alex Tuch R,21:26,1,1,2,4,1,0,0,1,2/5
Sabres,Blues,away,F,Jason Zucker L,11:24,0,0,0,2,0,2,1,1,0/0
Sabres,Blues,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Blues,away,F,Jacob Bryson D,15:09,0,1,-2,1,2,0,0,1,0/0
Sabres,Blues,away,F,Bowen Byram D,27:35,0,1,2,2,0,0,1,1,0/0
Sabres,Blues,away,F,Connor Clifton D,15:03,0,0,0,1,1,0,0,0,0/0
Sabres,Blues,away,F,Rasmus Dahlin D,27:31,1,0,-1,4,1,0,1,0,0/0
Sabres,Blues,away,F,Dennis Gilbert D,11:24,0,0,0,0,1,0,0,0,0/0
Sabres,Blues,away,F,Owen Power D,23:00,0,1,1,2,1,0,3,1,0/0
Sabres,Blues,away,F,Nicolas Aube-Kubel R,08:39,0,0,0,0,0,0,0,0,1/1
Sabres,Blues,away,F,Zach Benson L,17:21,1,0,2,4,1,0,0,0,1/1
Sabres,Blues,away,F,Dylan Cozens C,19:02,0,0,-2,4,0,0,1,0,5/17
Sabres,Blues,away,F,Jordan Greenway L,13:26,0,0,-1,1,0,0,0,1,0/0
Sabres,Blues,away,F,Peyton Krebs C,16:08,0,1,1,1,1,0,1,1,1/9
Sabres,Blues,away,F,Sam Lafferty C,11:50,0,0,0,2,0,0,0,0,3/6
Sabres,Blues,away,F,Beck Malenstyn L,11:20,0,0,-1,1,2,0,0,0,0/1
Sabres,Blues,away,F,Ryan McLeod C,17:17,1,1,1,1,0,0,2,0,9/21
Sabres,Blues,away,F,JJ Peterka R,18:24,0,1,-1,0,0,0,0,0,0/0
Sabres,Blues,away,F,Jack Quinn R,19:04,0,1,-1,3,0,0,0,0,0/0
Sabres,Blues,away,F,Alex Tuch R,21:26,1,1,2,4,1,0,0,1,2/5
Sabres,Blues,away,F,Jason Zucker L,11:24,0,0,0,2,0,2,1,1,0/0
Sabres,Blues,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Sabres,Blues,away,F,Jacob Bryson D,15:09,0,1,-2,1,2,0,0,1,0/0
Sabres,Blues,away,F,Bowen Byram D,27:35,0,1,2,2,0,0,1,1,0/0
Sabres,Blues,away,F,Connor Clifton D,15:03,0,0,0,1,1,0,0,0,0/0
Sabres,Blues,away,F,Rasmus Dahlin D,27:31,1,0,-1,4,1,0,1,0,0/0
Sabres,Blues,away,F,Dennis Gilbert D,11:24,0,0,0,0,1,0,0,0,0/0
Sabres,Blues,away,F,Owen Power D,23:00,0,1,1,2,1,0,3,1,0/0
