game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020013,2022-10-13,BUF,OTT,home,4,1,36,36,W,4,1,1,1,0,0,2,4,1,36,36,4.0,1.0,36.0,36.0,1.0
2022020025,2022-10-15,BUF,FLA,home,3,4,27,37,L,3,4,2,1,1,0,2,7,5,63,73,3.5,2.5,31.5,36.5,0.5
2022020054,2022-10-18,BUF,EDM,away,4,2,24,48,W,4,2,3,2,1,0,4,11,7,87,121,3.67,2.33,29.0,40.33,0.667
2022020068,2022-10-20,BUF,CGY,away,6,3,32,43,W,6,3,4,3,1,0,6,17,10,119,164,4.25,2.5,29.75,41.0,0.75
2022020084,2022-10-22,BUF,VAN,away,5,1,27,30,W,5,1,5,4,1,0,8,22,11,146,194,4.4,2.2,29.2,38.8,0.8
2022020105,2022-10-25,BUF,SEA,away,1,5,16,24,L,1,5,6,4,2,0,8,23,16,162,218,3.83,2.67,27.0,36.33,0.667
2022020114,2022-10-27,BUF,MTL,home,2,3,45,34,L,2,3,7,4,3,0,8,25,19,207,252,3.57,2.71,29.57,36.0,0.571
2022020131,2022-10-29,BUF,CHI,home,4,3,45,26,W,4,3,8,5,3,0,10,29,22,252,278,3.62,2.75,31.5,34.75,0.625
2022020144,2022-10-31,BUF,DET,home,8,3,46,18,W,8,3,9,6,3,0,12,37,25,298,296,4.11,2.78,33.11,32.89,0.667
2022020160,2022-11-02,BUF,PIT,home,6,3,33,21,W,6,3,10,7,3,0,14,43,28,331,317,4.3,2.8,33.1,31.7,0.7
2022020174,2022-11-04,BUF,CAR,away,3,5,25,33,L,3,5,11,7,4,0,14,46,33,356,350,4.18,3.0,32.36,31.82,0.636
2022020180,2022-11-05,BUF,TBL,away,3,5,24,30,L,3,5,12,7,5,0,14,49,38,380,380,4.08,3.17,31.67,31.67,0.583
2022020196,2022-11-08,BUF,ARI,home,1,4,33,24,L,1,4,13,7,6,0,14,50,42,413,404,3.85,3.23,31.77,31.08,0.538
2022020215,2022-11-10,BUF,VGK,home,4,7,35,36,L,4,7,14,7,7,0,14,54,49,448,440,3.86,3.5,32.0,31.43,0.5
2022020228,2022-11-12,BUF,BOS,home,1,3,31,30,L,1,3,15,7,8,0,14,55,52,479,470,3.67,3.47,31.93,31.33,0.467
2022020252,2022-11-15,BUF,VAN,home,4,5,32,32,L,4,5,16,7,9,0,14,59,57,511,502,3.69,3.56,31.94,31.38,0.438
