team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Canadiens,home,D,Thomas Chabot D,23:36,0,0,-2,4,0,0,0,3,0/0
Senators,Canadiens,home,D,Travis Hamonic D,12:09,0,0,0,1,1,0,0,0,0/0
Senators,Canadiens,home,D,Nick Jensen D,18:30,0,1,-2,2,1,0,0,2,0/0
Senators,Canadiens,home,D,Tyler Kleven D,10:57,0,0,0,2,1,2,1,1,0/0
Senators,Canadiens,home,D,Jake Sanderson D,27:36,0,0,0,1,4,0,1,1,0/0
Senators,Canadiens,home,D,Artem Zub D,18:02,0,0,0,1,1,2,0,0,0/0
Senators,Canadiens,home,D,Thomas Chabot D,23:36,0,0,-2,4,0,0,0,3,0/0
Senators,Canadiens,home,D,Travis Hamonic D,12:09,0,0,0,1,1,0,0,0,0/0
Senators,Canadiens,home,D,Nick Jensen D,18:30,0,1,-2,2,1,0,0,2,0/0
Senators,Canadiens,home,D,Tyler Kleven D,10:57,0,0,0,2,1,2,1,1,0/0
Senators,Canadiens,home,D,Jake Sanderson D,27:36,0,0,0,1,4,0,1,1,0/0
Senators,Canadiens,home,D,Artem Zub D,18:02,0,0,0,1,1,2,0,0,0/0
Senators,Canadiens,home,F,Michael Amadio R,14:23,0,0,0,2,0,0,0,1,2/2
Senators,Canadiens,home,F,Drake Batherson R,15:51,0,0,0,1,0,0,1,0,1/1
Senators,Canadiens,home,F,Nick Cousins C,08:51,0,0,0,0,0,0,0,0,0/0
Senators,Canadiens,home,F,Claude Giroux R,16:18,0,0,-1,0,0,0,0,0,5/8
Senators,Canadiens,home,F,Noah Gregor L,13:59,0,0,0,3,1,0,0,1,0/1
Senators,Canadiens,home,F,Ridly Greig C,12:59,0,0,-1,0,1,0,1,1,1/2
Senators,Canadiens,home,F,Zack MacEwen R,05:41,0,0,0,1,1,0,1,1,0/0
Senators,Canadiens,home,F,Josh Norris C,20:25,0,0,-1,0,1,0,0,0,9/17
Senators,Canadiens,home,F,David Perron L,16:12,0,0,0,1,1,0,0,3,0/0
Senators,Canadiens,home,F,Shane Pinto C,19:37,0,0,0,3,0,0,1,0,7/14
Senators,Canadiens,home,F,Tim Stützle C,19:56,1,0,-1,2,0,0,0,1,0/6
Senators,Canadiens,home,F,Brady Tkachuk L,18:38,0,1,-2,1,0,4,0,1,0/4
Senators,Canadiens,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Senators,Canadiens,home,F,Thomas Chabot D,23:36,0,0,-2,4,0,0,0,3,0/0
Senators,Canadiens,home,F,Travis Hamonic D,12:09,0,0,0,1,1,0,0,0,0/0
Senators,Canadiens,home,F,Nick Jensen D,18:30,0,1,-2,2,1,0,0,2,0/0
Senators,Canadiens,home,F,Tyler Kleven D,10:57,0,0,0,2,1,2,1,1,0/0
Senators,Canadiens,home,F,Jake Sanderson D,27:36,0,0,0,1,4,0,1,1,0/0
Senators,Canadiens,home,F,Artem Zub D,18:02,0,0,0,1,1,2,0,0,0/0
Senators,Canadiens,home,F,Michael Amadio R,14:23,0,0,0,2,0,0,0,1,2/2
Senators,Canadiens,home,F,Drake Batherson R,15:51,0,0,0,1,0,0,1,0,1/1
Senators,Canadiens,home,F,Nick Cousins C,08:51,0,0,0,0,0,0,0,0,0/0
Senators,Canadiens,home,F,Claude Giroux R,16:18,0,0,-1,0,0,0,0,0,5/8
Senators,Canadiens,home,F,Noah Gregor L,13:59,0,0,0,3,1,0,0,1,0/1
Senators,Canadiens,home,F,Ridly Greig C,12:59,0,0,-1,0,1,0,1,1,1/2
Senators,Canadiens,home,F,Zack MacEwen R,05:41,0,0,0,1,1,0,1,1,0/0
Senators,Canadiens,home,F,Josh Norris C,20:25,0,0,-1,0,1,0,0,0,9/17
Senators,Canadiens,home,F,David Perron L,16:12,0,0,0,1,1,0,0,3,0/0
Senators,Canadiens,home,F,Shane Pinto C,19:37,0,0,0,3,0,0,1,0,7/14
Senators,Canadiens,home,F,Tim Stützle C,19:56,1,0,-1,2,0,0,0,1,0/6
Senators,Canadiens,home,F,Brady Tkachuk L,18:38,0,1,-2,1,0,4,0,1,0/4
Senators,Canadiens,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Senators,Canadiens,home,F,Thomas Chabot D,23:36,0,0,-2,4,0,0,0,3,0/0
Senators,Canadiens,home,F,Travis Hamonic D,12:09,0,0,0,1,1,0,0,0,0/0
Senators,Canadiens,home,F,Nick Jensen D,18:30,0,1,-2,2,1,0,0,2,0/0
Senators,Canadiens,home,F,Tyler Kleven D,10:57,0,0,0,2,1,2,1,1,0/0
Senators,Canadiens,home,F,Jake Sanderson D,27:36,0,0,0,1,4,0,1,1,0/0
Senators,Canadiens,home,F,Artem Zub D,18:02,0,0,0,1,1,2,0,0,0/0
