team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Lightning,away,D,Jacob Bernard-Docker D,13:31,0,0,-2,2,1,0,0,1,0/0
Senators,Lightning,away,D,Thomas Chabot D,20:06,0,0,-1,0,0,0,1,2,0/0
Senators,Lightning,away,D,Travis Hamonic D,17:48,0,0,0,1,2,4,1,0,0/0
Senators,Lightning,away,D,Nick Jensen D,20:13,0,0,0,0,1,0,0,1,0/0
Senators,Lightning,away,D,Tyler Kleven D,15:56,0,0,0,0,1,0,1,0,0/0
Senators,Lightning,away,D,Jake Sanderson D,26:28,0,3,1,2,3,0,0,3,0/0
Senators,Lightning,away,D,Jacob Bernard-Docker D,13:31,0,0,-2,2,1,0,0,1,0/0
Senators,Lightning,away,D,Thomas Chabot D,20:06,0,0,-1,0,0,0,1,2,0/0
Senators,Lightning,away,D,Travis Hamonic D,17:48,0,0,0,1,2,4,1,0,0/0
Senators,Lightning,away,D,Nick Jensen D,20:13,0,0,0,0,1,0,0,1,0/0
Senators,Lightning,away,D,Tyler Kleven D,15:56,0,0,0,0,1,0,1,0,0/0
Senators,Lightning,away,D,Jake Sanderson D,26:28,0,3,1,2,3,0,0,3,0/0
Senators,Lightning,away,F,Michael Amadio R,13:26,0,0,-1,0,1,0,0,1,3/7
Senators,Lightning,away,F,Drake Batherson R,21:16,2,1,1,7,1,0,1,1,0/0
Senators,Lightning,away,F,Nick Cousins C,10:34,0,0,-2,0,0,0,0,0,0/0
Senators,Lightning,away,F,Adam Gaudette R,08:40,0,0,-1,1,1,0,0,1,4/11
Senators,Lightning,away,F,Claude Giroux R,21:35,0,2,1,2,2,0,1,0,7/15
Senators,Lightning,away,F,Noah Gregor L,11:02,1,0,1,2,1,0,0,0,0/0
Senators,Lightning,away,F,Zack MacEwen R,07:14,0,0,-1,0,0,0,0,0,0/0
Senators,Lightning,away,F,Josh Norris C,21:14,1,0,1,2,2,2,2,1,6/13
Senators,Lightning,away,F,David Perron L,12:22,0,0,-1,3,0,0,1,0,0/0
Senators,Lightning,away,F,Shane Pinto C,14:35,0,1,-1,0,2,2,0,2,8/12
Senators,Lightning,away,F,Tim Stützle C,19:36,0,1,0,1,2,2,2,1,0/3
Senators,Lightning,away,F,Brady Tkachuk L,18:24,1,0,-1,5,0,0,0,0,3/6
Senators,Lightning,away,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Lightning,away,F,Jacob Bernard-Docker D,13:31,0,0,-2,2,1,0,0,1,0/0
Senators,Lightning,away,F,Thomas Chabot D,20:06,0,0,-1,0,0,0,1,2,0/0
Senators,Lightning,away,F,Travis Hamonic D,17:48,0,0,0,1,2,4,1,0,0/0
Senators,Lightning,away,F,Nick Jensen D,20:13,0,0,0,0,1,0,0,1,0/0
Senators,Lightning,away,F,Tyler Kleven D,15:56,0,0,0,0,1,0,1,0,0/0
Senators,Lightning,away,F,Jake Sanderson D,26:28,0,3,1,2,3,0,0,3,0/0
Senators,Lightning,away,F,Michael Amadio R,13:26,0,0,-1,0,1,0,0,1,3/7
Senators,Lightning,away,F,Drake Batherson R,21:16,2,1,1,7,1,0,1,1,0/0
Senators,Lightning,away,F,Nick Cousins C,10:34,0,0,-2,0,0,0,0,0,0/0
Senators,Lightning,away,F,Adam Gaudette R,08:40,0,0,-1,1,1,0,0,1,4/11
Senators,Lightning,away,F,Claude Giroux R,21:35,0,2,1,2,2,0,1,0,7/15
Senators,Lightning,away,F,Noah Gregor L,11:02,1,0,1,2,1,0,0,0,0/0
Senators,Lightning,away,F,Zack MacEwen R,07:14,0,0,-1,0,0,0,0,0,0/0
Senators,Lightning,away,F,Josh Norris C,21:14,1,0,1,2,2,2,2,1,6/13
Senators,Lightning,away,F,David Perron L,12:22,0,0,-1,3,0,0,1,0,0/0
Senators,Lightning,away,F,Shane Pinto C,14:35,0,1,-1,0,2,2,0,2,8/12
Senators,Lightning,away,F,Tim Stützle C,19:36,0,1,0,1,2,2,2,1,0/3
Senators,Lightning,away,F,Brady Tkachuk L,18:24,1,0,-1,5,0,0,0,0,3/6
Senators,Lightning,away,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Lightning,away,F,Jacob Bernard-Docker D,13:31,0,0,-2,2,1,0,0,1,0/0
Senators,Lightning,away,F,Thomas Chabot D,20:06,0,0,-1,0,0,0,1,2,0/0
Senators,Lightning,away,F,Travis Hamonic D,17:48,0,0,0,1,2,4,1,0,0/0
Senators,Lightning,away,F,Nick Jensen D,20:13,0,0,0,0,1,0,0,1,0/0
Senators,Lightning,away,F,Tyler Kleven D,15:56,0,0,0,0,1,0,1,0,0/0
Senators,Lightning,away,F,Jake Sanderson D,26:28,0,3,1,2,3,0,0,3,0/0
