team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Golden Knights,home,D,Jacob Bernard-Docker D,13:37,0,1,1,1,0,0,0,0,0/0
Senators,Golden Knights,home,D,Thomas Chabot D,19:41,0,0,1,3,3,0,1,0,0/0
Senators,Golden Knights,home,D,Travis Hamonic D,20:47,0,0,-3,3,3,0,0,2,0/0
Senators,Golden Knights,home,D,Nick Jensen D,19:31,0,1,1,0,2,2,0,0,0/0
Senators,Golden Knights,home,D,Tyler Kleven D,15:36,0,0,1,1,1,0,0,2,0/0
Senators,Golden Knights,home,D,Jake Sanderson D,25:33,0,0,-4,2,3,0,0,0,0/0
Senators,Golden Knights,home,D,Jacob Bernard-Docker D,13:37,0,1,1,1,0,0,0,0,0/0
Senators,Golden Knights,home,D,Thomas Chabot D,19:41,0,0,1,3,3,0,1,0,0/0
Senators,Golden Knights,home,D,Travis Hamonic D,20:47,0,0,-3,3,3,0,0,2,0/0
Senators,Golden Knights,home,D,Nick Jensen D,19:31,0,1,1,0,2,2,0,0,0/0
Senators,Golden Knights,home,D,Tyler Kleven D,15:36,0,0,1,1,1,0,0,2,0/0
Senators,Golden Knights,home,D,Jake Sanderson D,25:33,0,0,-4,2,3,0,0,0,0/0
Senators,Golden Knights,home,F,Michael Amadio R,14:22,0,0,-2,0,1,0,0,0,0/1
Senators,Golden Knights,home,F,Drake Batherson R,21:11,1,1,0,1,1,0,0,0,0/0
Senators,Golden Knights,home,F,Nick Cousins C,11:25,0,0,0,4,0,2,0,0,0/1
Senators,Golden Knights,home,F,Adam Gaudette R,09:37,2,0,0,2,0,0,0,0,4/8
Senators,Golden Knights,home,F,Claude Giroux R,20:31,1,1,-1,2,2,0,0,0,6/12
Senators,Golden Knights,home,F,Noah Gregor L,14:02,0,0,-1,2,1,0,0,0,0/0
Senators,Golden Knights,home,F,Ridly Greig C,14:18,0,0,-1,3,0,0,0,1,4/9
Senators,Golden Knights,home,F,Zack MacEwen R,07:46,0,0,0,2,0,0,0,0,0/1
Senators,Golden Knights,home,F,Josh Norris C,21:18,0,0,-1,2,2,0,0,1,13/22
Senators,Golden Knights,home,F,Cole Reinhardt L,06:50,0,1,0,3,0,0,0,2,0/0
Senators,Golden Knights,home,F,Tim Stützle C,21:07,0,1,-1,3,1,0,0,1,1/4
Senators,Golden Knights,home,F,Brady Tkachuk L,20:40,0,0,-1,5,1,0,1,2,5/13
Senators,Golden Knights,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Golden Knights,home,F,Jacob Bernard-Docker D,13:37,0,1,1,1,0,0,0,0,0/0
Senators,Golden Knights,home,F,Thomas Chabot D,19:41,0,0,1,3,3,0,1,0,0/0
Senators,Golden Knights,home,F,Travis Hamonic D,20:47,0,0,-3,3,3,0,0,2,0/0
Senators,Golden Knights,home,F,Nick Jensen D,19:31,0,1,1,0,2,2,0,0,0/0
Senators,Golden Knights,home,F,Tyler Kleven D,15:36,0,0,1,1,1,0,0,2,0/0
Senators,Golden Knights,home,F,Jake Sanderson D,25:33,0,0,-4,2,3,0,0,0,0/0
Senators,Golden Knights,home,F,Michael Amadio R,14:22,0,0,-2,0,1,0,0,0,0/1
Senators,Golden Knights,home,F,Drake Batherson R,21:11,1,1,0,1,1,0,0,0,0/0
Senators,Golden Knights,home,F,Nick Cousins C,11:25,0,0,0,4,0,2,0,0,0/1
Senators,Golden Knights,home,F,Adam Gaudette R,09:37,2,0,0,2,0,0,0,0,4/8
Senators,Golden Knights,home,F,Claude Giroux R,20:31,1,1,-1,2,2,0,0,0,6/12
Senators,Golden Knights,home,F,Noah Gregor L,14:02,0,0,-1,2,1,0,0,0,0/0
Senators,Golden Knights,home,F,Ridly Greig C,14:18,0,0,-1,3,0,0,0,1,4/9
Senators,Golden Knights,home,F,Zack MacEwen R,07:46,0,0,0,2,0,0,0,0,0/1
Senators,Golden Knights,home,F,Josh Norris C,21:18,0,0,-1,2,2,0,0,1,13/22
Senators,Golden Knights,home,F,Cole Reinhardt L,06:50,0,1,0,3,0,0,0,2,0/0
Senators,Golden Knights,home,F,Tim Stützle C,21:07,0,1,-1,3,1,0,0,1,1/4
Senators,Golden Knights,home,F,Brady Tkachuk L,20:40,0,0,-1,5,1,0,1,2,5/13
Senators,Golden Knights,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Golden Knights,home,F,Jacob Bernard-Docker D,13:37,0,1,1,1,0,0,0,0,0/0
Senators,Golden Knights,home,F,Thomas Chabot D,19:41,0,0,1,3,3,0,1,0,0/0
Senators,Golden Knights,home,F,Travis Hamonic D,20:47,0,0,-3,3,3,0,0,2,0/0
Senators,Golden Knights,home,F,Nick Jensen D,19:31,0,1,1,0,2,2,0,0,0/0
Senators,Golden Knights,home,F,Tyler Kleven D,15:36,0,0,1,1,1,0,0,2,0/0
Senators,Golden Knights,home,F,Jake Sanderson D,25:33,0,0,-4,2,3,0,0,0,0/0
