team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Rangers,home,D,Jacob Bernard-Docker D,08:06,0,0,0,1,2,0,0,0,0/0
Senators,Rangers,home,D,Thomas Chabot D,26:49,0,1,1,2,1,0,1,1,0/0
Senators,Rangers,home,D,Travis Hamonic D,13:46,0,0,-1,2,0,0,1,0,0/0
Senators,Rangers,home,D,Nick Jensen D,23:08,0,0,1,6,0,0,0,3,0/0
Senators,Rangers,home,D,Tyler Kleven D,12:45,0,0,0,1,0,0,0,0,0/0
Senators,Rangers,home,D,Jake Sanderson D,26:48,0,0,-1,3,0,0,0,2,0/0
Senators,Rangers,home,D,Jacob Bernard-Docker D,08:06,0,0,0,1,2,0,0,0,0/0
Senators,Rangers,home,D,Thomas Chabot D,26:49,0,1,1,2,1,0,1,1,0/0
Senators,Rangers,home,D,Travis Hamonic D,13:46,0,0,-1,2,0,0,1,0,0/0
Senators,Rangers,home,D,Nick Jensen D,23:08,0,0,1,6,0,0,0,3,0/0
Senators,Rangers,home,D,Tyler Kleven D,12:45,0,0,0,1,0,0,0,0,0/0
Senators,Rangers,home,D,Jake Sanderson D,26:48,0,0,-1,3,0,0,0,2,0/0
Senators,Rangers,home,F,Michael Amadio R,15:42,0,0,0,2,1,2,1,0,1/1
Senators,Rangers,home,F,Drake Batherson R,19:28,0,0,-1,0,0,0,0,2,0/0
Senators,Rangers,home,F,Nick Cousins C,08:16,0,0,0,1,0,0,0,3,0/0
Senators,Rangers,home,F,Adam Gaudette R,11:37,1,0,1,3,0,0,0,1,1/4
Senators,Rangers,home,F,Claude Giroux R,22:50,0,0,-1,3,1,0,1,3,9/17
Senators,Rangers,home,F,Noah Gregor L,11:40,0,0,0,1,0,0,0,1,0/0
Senators,Rangers,home,F,Ridly Greig C,17:00,0,0,1,0,2,0,1,0,5/12
Senators,Rangers,home,F,Zack MacEwen R,06:13,0,0,0,3,1,0,0,0,1/2
Senators,Rangers,home,F,Josh Norris C,18:33,0,0,-1,4,1,2,0,3,9/14
Senators,Rangers,home,F,Zack Ostapchuk C,10:34,0,0,0,1,1,0,0,1,0/3
Senators,Rangers,home,F,Tim Stützle C,23:09,0,0,0,4,0,0,0,1,1/4
Senators,Rangers,home,F,Brady Tkachuk L,21:16,0,1,1,4,0,0,0,1,0/2
Senators,Rangers,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Rangers,home,F,Jacob Bernard-Docker D,08:06,0,0,0,1,2,0,0,0,0/0
Senators,Rangers,home,F,Thomas Chabot D,26:49,0,1,1,2,1,0,1,1,0/0
Senators,Rangers,home,F,Travis Hamonic D,13:46,0,0,-1,2,0,0,1,0,0/0
Senators,Rangers,home,F,Nick Jensen D,23:08,0,0,1,6,0,0,0,3,0/0
Senators,Rangers,home,F,Tyler Kleven D,12:45,0,0,0,1,0,0,0,0,0/0
Senators,Rangers,home,F,Jake Sanderson D,26:48,0,0,-1,3,0,0,0,2,0/0
Senators,Rangers,home,F,Michael Amadio R,15:42,0,0,0,2,1,2,1,0,1/1
Senators,Rangers,home,F,Drake Batherson R,19:28,0,0,-1,0,0,0,0,2,0/0
Senators,Rangers,home,F,Nick Cousins C,08:16,0,0,0,1,0,0,0,3,0/0
Senators,Rangers,home,F,Adam Gaudette R,11:37,1,0,1,3,0,0,0,1,1/4
Senators,Rangers,home,F,Claude Giroux R,22:50,0,0,-1,3,1,0,1,3,9/17
Senators,Rangers,home,F,Noah Gregor L,11:40,0,0,0,1,0,0,0,1,0/0
Senators,Rangers,home,F,Ridly Greig C,17:00,0,0,1,0,2,0,1,0,5/12
Senators,Rangers,home,F,Zack MacEwen R,06:13,0,0,0,3,1,0,0,0,1/2
Senators,Rangers,home,F,Josh Norris C,18:33,0,0,-1,4,1,2,0,3,9/14
Senators,Rangers,home,F,Zack Ostapchuk C,10:34,0,0,0,1,1,0,0,1,0/3
Senators,Rangers,home,F,Tim Stützle C,23:09,0,0,0,4,0,0,0,1,1/4
Senators,Rangers,home,F,Brady Tkachuk L,21:16,0,1,1,4,0,0,0,1,0/2
Senators,Rangers,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Rangers,home,F,Jacob Bernard-Docker D,08:06,0,0,0,1,2,0,0,0,0/0
Senators,Rangers,home,F,Thomas Chabot D,26:49,0,1,1,2,1,0,1,1,0/0
Senators,Rangers,home,F,Travis Hamonic D,13:46,0,0,-1,2,0,0,1,0,0/0
Senators,Rangers,home,F,Nick Jensen D,23:08,0,0,1,6,0,0,0,3,0/0
Senators,Rangers,home,F,Tyler Kleven D,12:45,0,0,0,1,0,0,0,0,0/0
Senators,Rangers,home,F,Jake Sanderson D,26:48,0,0,-1,3,0,0,0,2,0/0
