team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Sabres,home,D,Jacob Bernard-Docker D,13:24,0,0,-1,0,1,0,0,1,0/0
Senators,Sabres,home,D,Thomas Chabot D,25:27,0,0,0,6,1,0,0,0,0/0
Senators,Sabres,home,D,Travis Hamonic D,16:47,0,0,-1,2,1,0,0,0,0/0
Senators,Sabres,home,D,Nick Jensen D,19:39,0,0,0,1,0,0,0,1,0/0
Senators,Sabres,home,D,Tyler Kleven D,16:53,0,0,-1,1,3,0,0,0,0/0
Senators,Sabres,home,D,Jake Sanderson D,22:12,0,0,-1,1,2,0,1,0,0/0
Senators,Sabres,home,D,Jacob Bernard-Docker D,13:24,0,0,-1,0,1,0,0,1,0/0
Senators,Sabres,home,D,Thomas Chabot D,25:27,0,0,0,6,1,0,0,0,0/0
Senators,Sabres,home,D,Travis Hamonic D,16:47,0,0,-1,2,1,0,0,0,0/0
Senators,Sabres,home,D,Nick Jensen D,19:39,0,0,0,1,0,0,0,1,0/0
Senators,Sabres,home,D,Tyler Kleven D,16:53,0,0,-1,1,3,0,0,0,0/0
Senators,Sabres,home,D,Jake Sanderson D,22:12,0,0,-1,1,2,0,1,0,0/0
Senators,Sabres,home,F,Michael Amadio R,14:38,0,0,0,2,0,4,0,0,2/2
Senators,Sabres,home,F,Drake Batherson R,15:01,0,0,-1,2,0,2,0,1,0/1
Senators,Sabres,home,F,Nick Cousins C,12:56,0,0,0,3,0,0,0,0,0/1
Senators,Sabres,home,F,Adam Gaudette R,16:09,0,0,0,1,0,2,0,0,6/9
Senators,Sabres,home,F,Claude Giroux R,16:08,0,0,-1,2,1,0,0,1,5/6
Senators,Sabres,home,F,Noah Gregor L,14:04,0,0,0,4,0,0,1,0,0/1
Senators,Sabres,home,F,Ridly Greig C,17:10,1,0,-1,3,1,0,0,1,7/10
Senators,Sabres,home,F,Zack MacEwen R,13:19,0,0,0,4,0,2,0,1,0/1
Senators,Sabres,home,F,Josh Norris C,17:04,0,0,-1,3,0,0,0,0,9/12
Senators,Sabres,home,F,Zack Ostapchuk C,10:03,0,0,0,1,1,0,0,0,0/5
Senators,Sabres,home,F,Tim Stützle C,17:09,0,1,-1,2,0,0,0,1,5/10
Senators,Sabres,home,F,Brady Tkachuk L,14:48,0,1,-1,0,1,11,0,0,1/4
Senators,Sabres,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Sabres,home,F,Jacob Bernard-Docker D,13:24,0,0,-1,0,1,0,0,1,0/0
Senators,Sabres,home,F,Thomas Chabot D,25:27,0,0,0,6,1,0,0,0,0/0
Senators,Sabres,home,F,Travis Hamonic D,16:47,0,0,-1,2,1,0,0,0,0/0
Senators,Sabres,home,F,Nick Jensen D,19:39,0,0,0,1,0,0,0,1,0/0
Senators,Sabres,home,F,Tyler Kleven D,16:53,0,0,-1,1,3,0,0,0,0/0
Senators,Sabres,home,F,Jake Sanderson D,22:12,0,0,-1,1,2,0,1,0,0/0
Senators,Sabres,home,F,Michael Amadio R,14:38,0,0,0,2,0,4,0,0,2/2
Senators,Sabres,home,F,Drake Batherson R,15:01,0,0,-1,2,0,2,0,1,0/1
Senators,Sabres,home,F,Nick Cousins C,12:56,0,0,0,3,0,0,0,0,0/1
Senators,Sabres,home,F,Adam Gaudette R,16:09,0,0,0,1,0,2,0,0,6/9
Senators,Sabres,home,F,Claude Giroux R,16:08,0,0,-1,2,1,0,0,1,5/6
Senators,Sabres,home,F,Noah Gregor L,14:04,0,0,0,4,0,0,1,0,0/1
Senators,Sabres,home,F,Ridly Greig C,17:10,1,0,-1,3,1,0,0,1,7/10
Senators,Sabres,home,F,Zack MacEwen R,13:19,0,0,0,4,0,2,0,1,0/1
Senators,Sabres,home,F,Josh Norris C,17:04,0,0,-1,3,0,0,0,0,9/12
Senators,Sabres,home,F,Zack Ostapchuk C,10:03,0,0,0,1,1,0,0,0,0/5
Senators,Sabres,home,F,Tim Stützle C,17:09,0,1,-1,2,0,0,0,1,5/10
Senators,Sabres,home,F,Brady Tkachuk L,14:48,0,1,-1,0,1,11,0,0,1/4
Senators,Sabres,home,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJacob
Senators,Sabres,home,F,Jacob Bernard-Docker D,13:24,0,0,-1,0,1,0,0,1,0/0
Senators,Sabres,home,F,Thomas Chabot D,25:27,0,0,0,6,1,0,0,0,0/0
Senators,Sabres,home,F,Travis Hamonic D,16:47,0,0,-1,2,1,0,0,0,0/0
Senators,Sabres,home,F,Nick Jensen D,19:39,0,0,0,1,0,0,0,1,0/0
Senators,Sabres,home,F,Tyler Kleven D,16:53,0,0,-1,1,3,0,0,0,0/0
Senators,Sabres,home,F,Jake Sanderson D,22:12,0,0,-1,1,2,0,1,0,0/0
