team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Senators,Islanders,away,D,Thomas Chabot D,25:10,0,1,1,3,4,0,1,2,0/0
Senators,Islanders,away,D,Travis Hamonic D,11:48,0,0,-1,0,2,0,0,1,0/0
Senators,Islanders,away,D,Nick Jensen D,22:36,1,0,1,6,0,0,0,2,0/0
Senators,Islanders,away,D,Tyler Kleven D,11:41,0,0,-1,1,1,0,0,0,0/0
Senators,Islanders,away,D,Jake Sanderson D,23:24,0,1,-3,1,4,2,3,3,0/0
Senators,Islanders,away,D,Artem Zub D,21:01,0,0,-2,1,0,0,0,1,0/0
Senators,Islanders,away,D,Thomas Chabot D,25:10,0,1,1,3,4,0,1,2,0/0
Senators,Islanders,away,D,Travis Hamonic D,11:48,0,0,-1,0,2,0,0,1,0/0
Senators,Islanders,away,D,Nick Jensen D,22:36,1,0,1,6,0,0,0,2,0/0
Senators,Islanders,away,D,Tyler Kleven D,11:41,0,0,-1,1,1,0,0,0,0/0
Senators,Islanders,away,D,Jake Sanderson D,23:24,0,1,-3,1,4,2,3,3,0/0
Senators,Islanders,away,D,Artem Zub D,21:01,0,0,-2,1,0,0,0,1,0/0
Senators,Islanders,away,F,Michael Amadio R,11:20,0,0,-1,0,1,0,0,1,1/1
Senators,Islanders,away,F,Drake Batherson R,19:05,1,0,1,3,0,0,1,0,0/1
Senators,Islanders,away,F,Nick Cousins C,11:12,0,0,0,2,2,0,1,1,0/0
Senators,Islanders,away,F,Adam Gaudette R,15:57,0,0,-1,1,1,0,2,0,3/3
Senators,Islanders,away,F,Claude Giroux R,19:44,0,0,0,3,0,0,0,2,8/20
Senators,Islanders,away,F,Noah Gregor L,08:11,0,0,-1,0,0,2,1,1,0/0
Senators,Islanders,away,F,Ridly Greig C,16:50,0,0,-2,2,1,0,0,0,1/6
Senators,Islanders,away,F,Zack MacEwen R,09:47,0,0,0,2,1,0,2,2,0/0
Senators,Islanders,away,F,Josh Norris C,19:52,0,0,-1,1,0,2,1,2,10/14
Senators,Islanders,away,F,Zack Ostapchuk C,06:33,0,0,-1,1,0,0,0,1,2/3
Senators,Islanders,away,F,Tim Stützle C,20:16,0,2,-2,1,1,0,0,1,0/3
Senators,Islanders,away,F,Brady Tkachuk L,21:03,0,0,-3,2,1,0,1,1,2/4
Senators,Islanders,away,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Senators,Islanders,away,F,Thomas Chabot D,25:10,0,1,1,3,4,0,1,2,0/0
Senators,Islanders,away,F,Travis Hamonic D,11:48,0,0,-1,0,2,0,0,1,0/0
Senators,Islanders,away,F,Nick Jensen D,22:36,1,0,1,6,0,0,0,2,0/0
Senators,Islanders,away,F,Tyler Kleven D,11:41,0,0,-1,1,1,0,0,0,0/0
Senators,Islanders,away,F,Jake Sanderson D,23:24,0,1,-3,1,4,2,3,3,0/0
Senators,Islanders,away,F,Artem Zub D,21:01,0,0,-2,1,0,0,0,1,0/0
Senators,Islanders,away,F,Michael Amadio R,11:20,0,0,-1,0,1,0,0,1,1/1
Senators,Islanders,away,F,Drake Batherson R,19:05,1,0,1,3,0,0,1,0,0/1
Senators,Islanders,away,F,Nick Cousins C,11:12,0,0,0,2,2,0,1,1,0/0
Senators,Islanders,away,F,Adam Gaudette R,15:57,0,0,-1,1,1,0,2,0,3/3
Senators,Islanders,away,F,Claude Giroux R,19:44,0,0,0,3,0,0,0,2,8/20
Senators,Islanders,away,F,Noah Gregor L,08:11,0,0,-1,0,0,2,1,1,0/0
Senators,Islanders,away,F,Ridly Greig C,16:50,0,0,-2,2,1,0,0,0,1/6
Senators,Islanders,away,F,Zack MacEwen R,09:47,0,0,0,2,1,0,2,2,0/0
Senators,Islanders,away,F,Josh Norris C,19:52,0,0,-1,1,0,2,1,2,10/14
Senators,Islanders,away,F,Zack Ostapchuk C,06:33,0,0,-1,1,0,0,0,1,2/3
Senators,Islanders,away,F,Tim Stützle C,20:16,0,2,-2,1,1,0,0,1,0/3
Senators,Islanders,away,F,Brady Tkachuk L,21:03,0,0,-3,2,1,0,1,1,2/4
Senators,Islanders,away,F,Senators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Senators,Islanders,away,F,Thomas Chabot D,25:10,0,1,1,3,4,0,1,2,0/0
Senators,Islanders,away,F,Travis Hamonic D,11:48,0,0,-1,0,2,0,0,1,0/0
Senators,Islanders,away,F,Nick Jensen D,22:36,1,0,1,6,0,0,0,2,0/0
Senators,Islanders,away,F,Tyler Kleven D,11:41,0,0,-1,1,1,0,0,0,0/0
Senators,Islanders,away,F,Jake Sanderson D,23:24,0,1,-3,1,4,2,3,3,0/0
Senators,Islanders,away,F,Artem Zub D,21:01,0,0,-2,1,0,0,0,1,0/0
