team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sharks,Golden Knights,home,D,Cody Ceci D,22:21,0,0,-1,1,1,0,1,0,0/0
Sharks,Golden Knights,home,D,Mario Ferraro D,19:20,0,1,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,D,Jan Rutta D,20:31,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,D,Jack Thompson D,18:42,0,0,-2,1,1,2,0,0,0/0
Sharks,Golden Knights,home,D,Henry Thrun D,15:22,0,0,-1,0,0,0,0,0,0/0
Sharks,Golden Knights,home,D,Jake Walman D,20:48,0,0,-1,3,2,0,1,0,0/0
Sharks,Golden Knights,home,D,Cody Ceci D,22:21,0,0,-1,1,1,0,1,0,0/0
Sharks,Golden Knights,home,D,Mario Ferraro D,19:20,0,1,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,D,Jan Rutta D,20:31,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,D,Jack Thompson D,18:42,0,0,-2,1,1,2,0,0,0/0
Sharks,Golden Knights,home,D,Henry Thrun D,15:22,0,0,-1,0,0,0,0,0,0/0
Sharks,Golden Knights,home,D,Jake Walman D,20:48,0,0,-1,3,2,0,1,0,0/0
Sharks,Golden Knights,home,F,Ty Dellandrea C,09:02,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,William Eklund L,21:58,0,1,-2,0,0,0,1,1,2/2
Sharks,Golden Knights,home,F,Barclay Goodrow C,13:36,0,0,-1,0,3,2,0,1,1/5
Sharks,Golden Knights,home,F,Mikael Granlund C,20:16,1,0,-3,5,1,0,1,2,5/12
Sharks,Golden Knights,home,F,Carl Grundstrom R,08:13,0,0,-1,1,0,2,0,0,0/0
Sharks,Golden Knights,home,F,Danil Gushchin L,10:11,0,0,-1,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Luke Kunin C,15:05,1,0,1,2,1,2,0,0,2/7
Sharks,Golden Knights,home,F,Will Smith C,13:04,0,0,0,2,0,0,0,1,0/6
Sharks,Golden Knights,home,F,Nico Sturm C,10:39,1,0,0,1,1,0,0,1,6/9
Sharks,Golden Knights,home,F,Tyler Toffoli C,16:50,0,0,-3,2,0,0,1,1,1/1
Sharks,Golden Knights,home,F,Alexander Wennberg C,18:48,0,0,-1,0,4,0,0,0,9/11
Sharks,Golden Knights,home,F,Fabian Zetterlund L,18:24,0,1,1,4,1,0,1,0,0/0
Sharks,Golden Knights,home,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Golden Knights,home,F,Cody Ceci D,22:21,0,0,-1,1,1,0,1,0,0/0
Sharks,Golden Knights,home,F,Mario Ferraro D,19:20,0,1,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Jan Rutta D,20:31,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Jack Thompson D,18:42,0,0,-2,1,1,2,0,0,0/0
Sharks,Golden Knights,home,F,Henry Thrun D,15:22,0,0,-1,0,0,0,0,0,0/0
Sharks,Golden Knights,home,F,Jake Walman D,20:48,0,0,-1,3,2,0,1,0,0/0
Sharks,Golden Knights,home,F,Ty Dellandrea C,09:02,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,William Eklund L,21:58,0,1,-2,0,0,0,1,1,2/2
Sharks,Golden Knights,home,F,Barclay Goodrow C,13:36,0,0,-1,0,3,2,0,1,1/5
Sharks,Golden Knights,home,F,Mikael Granlund C,20:16,1,0,-3,5,1,0,1,2,5/12
Sharks,Golden Knights,home,F,Carl Grundstrom R,08:13,0,0,-1,1,0,2,0,0,0/0
Sharks,Golden Knights,home,F,Danil Gushchin L,10:11,0,0,-1,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Luke Kunin C,15:05,1,0,1,2,1,2,0,0,2/7
Sharks,Golden Knights,home,F,Will Smith C,13:04,0,0,0,2,0,0,0,1,0/6
Sharks,Golden Knights,home,F,Nico Sturm C,10:39,1,0,0,1,1,0,0,1,6/9
Sharks,Golden Knights,home,F,Tyler Toffoli C,16:50,0,0,-3,2,0,0,1,1,1/1
Sharks,Golden Knights,home,F,Alexander Wennberg C,18:48,0,0,-1,0,4,0,0,0,9/11
Sharks,Golden Knights,home,F,Fabian Zetterlund L,18:24,0,1,1,4,1,0,1,0,0/0
Sharks,Golden Knights,home,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Golden Knights,home,F,Cody Ceci D,22:21,0,0,-1,1,1,0,1,0,0/0
Sharks,Golden Knights,home,F,Mario Ferraro D,19:20,0,1,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Jan Rutta D,20:31,0,0,0,1,1,0,0,0,0/0
Sharks,Golden Knights,home,F,Jack Thompson D,18:42,0,0,-2,1,1,2,0,0,0/0
Sharks,Golden Knights,home,F,Henry Thrun D,15:22,0,0,-1,0,0,0,0,0,0/0
Sharks,Golden Knights,home,F,Jake Walman D,20:48,0,0,-1,3,2,0,1,0,0/0
