team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sharks,Canucks,away,D,Cody Ceci D,24:12,0,0,-1,0,2,0,0,0,0/0
Sharks,Canucks,away,D,Mario Ferraro D,21:00,0,0,-1,0,2,0,0,1,0/0
Sharks,Canucks,away,D,Timothy Liljegren D,16:57,0,0,2,1,1,0,0,2,0/0
Sharks,Canucks,away,D,Jan Rutta D,18:30,0,0,-1,4,3,0,0,0,0/0
Sharks,Canucks,away,D,Henry Thrun D,12:57,0,0,0,0,3,0,1,0,0/0
Sharks,Canucks,away,D,Jake Walman D,20:35,0,0,-2,3,2,0,0,0,0/0
Sharks,Canucks,away,D,Cody Ceci D,24:12,0,0,-1,0,2,0,0,0,0/0
Sharks,Canucks,away,D,Mario Ferraro D,21:00,0,0,-1,0,2,0,0,1,0/0
Sharks,Canucks,away,D,Timothy Liljegren D,16:57,0,0,2,1,1,0,0,2,0/0
Sharks,Canucks,away,D,Jan Rutta D,18:30,0,0,-1,4,3,0,0,0,0/0
Sharks,Canucks,away,D,Henry Thrun D,12:57,0,0,0,0,3,0,1,0,0/0
Sharks,Canucks,away,D,Jake Walman D,20:35,0,0,-2,3,2,0,0,0,0/0
Sharks,Canucks,away,F,Ethan Cardwell R,16:23,0,0,-2,1,1,0,0,3,0/0
Sharks,Canucks,away,F,William Eklund L,19:56,0,1,0,1,0,0,0,2,0/0
Sharks,Canucks,away,F,Barclay Goodrow C,14:57,0,0,0,1,0,2,2,3,1/1
Sharks,Canucks,away,F,Mikael Granlund C,22:08,1,0,-1,3,0,0,0,3,6/11
Sharks,Canucks,away,F,Carl Grundstrom R,08:08,0,0,0,2,0,0,0,0,0/1
Sharks,Canucks,away,F,Danil Gushchin L,10:12,0,0,0,2,0,2,0,0,0/0
Sharks,Canucks,away,F,Luke Kunin C,16:24,0,1,0,1,3,0,0,0,1/2
Sharks,Canucks,away,F,Will Smith C,14:57,0,0,0,0,0,0,0,1,3/5
Sharks,Canucks,away,F,Nico Sturm C,08:50,1,0,0,1,2,0,0,0,2/5
Sharks,Canucks,away,F,Tyler Toffoli C,15:50,0,1,0,0,0,0,1,0,1/1
Sharks,Canucks,away,F,Alexander Wennberg C,17:06,0,0,1,3,0,0,1,0,5/12
Sharks,Canucks,away,F,Fabian Zetterlund L,18:06,0,0,1,0,3,0,1,1,1/1
Sharks,Canucks,away,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Canucks,away,F,Cody Ceci D,24:12,0,0,-1,0,2,0,0,0,0/0
Sharks,Canucks,away,F,Mario Ferraro D,21:00,0,0,-1,0,2,0,0,1,0/0
Sharks,Canucks,away,F,Timothy Liljegren D,16:57,0,0,2,1,1,0,0,2,0/0
Sharks,Canucks,away,F,Jan Rutta D,18:30,0,0,-1,4,3,0,0,0,0/0
Sharks,Canucks,away,F,Henry Thrun D,12:57,0,0,0,0,3,0,1,0,0/0
Sharks,Canucks,away,F,Jake Walman D,20:35,0,0,-2,3,2,0,0,0,0/0
Sharks,Canucks,away,F,Ethan Cardwell R,16:23,0,0,-2,1,1,0,0,3,0/0
Sharks,Canucks,away,F,William Eklund L,19:56,0,1,0,1,0,0,0,2,0/0
Sharks,Canucks,away,F,Barclay Goodrow C,14:57,0,0,0,1,0,2,2,3,1/1
Sharks,Canucks,away,F,Mikael Granlund C,22:08,1,0,-1,3,0,0,0,3,6/11
Sharks,Canucks,away,F,Carl Grundstrom R,08:08,0,0,0,2,0,0,0,0,0/1
Sharks,Canucks,away,F,Danil Gushchin L,10:12,0,0,0,2,0,2,0,0,0/0
Sharks,Canucks,away,F,Luke Kunin C,16:24,0,1,0,1,3,0,0,0,1/2
Sharks,Canucks,away,F,Will Smith C,14:57,0,0,0,0,0,0,0,1,3/5
Sharks,Canucks,away,F,Nico Sturm C,08:50,1,0,0,1,2,0,0,0,2/5
Sharks,Canucks,away,F,Tyler Toffoli C,15:50,0,1,0,0,0,0,1,0,1/1
Sharks,Canucks,away,F,Alexander Wennberg C,17:06,0,0,1,3,0,0,1,0,5/12
Sharks,Canucks,away,F,Fabian Zetterlund L,18:06,0,0,1,0,3,0,1,1,1/1
Sharks,Canucks,away,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Canucks,away,F,Cody Ceci D,24:12,0,0,-1,0,2,0,0,0,0/0
Sharks,Canucks,away,F,Mario Ferraro D,21:00,0,0,-1,0,2,0,0,1,0/0
Sharks,Canucks,away,F,Timothy Liljegren D,16:57,0,0,2,1,1,0,0,2,0/0
Sharks,Canucks,away,F,Jan Rutta D,18:30,0,0,-1,4,3,0,0,0,0/0
Sharks,Canucks,away,F,Henry Thrun D,12:57,0,0,0,0,3,0,1,0,0/0
Sharks,Canucks,away,F,Jake Walman D,20:35,0,0,-2,3,2,0,0,0,0/0
