team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sharks,Blue Jackets,away,D,Cody Ceci D,23:59,0,0,-1,2,0,0,0,1,0/0
Sharks,Blue Jackets,away,D,Mario Ferraro D,23:02,0,0,-1,4,1,0,0,0,0/0
Sharks,Blue Jackets,away,D,Timothy Liljegren D,19:25,0,0,0,1,0,2,0,1,0/0
Sharks,Blue Jackets,away,D,Jan Rutta D,15:36,0,0,0,1,2,2,0,0,0/0
Sharks,Blue Jackets,away,D,Jack Thompson D,17:38,1,0,1,1,2,0,1,0,0/0
Sharks,Blue Jackets,away,D,Henry Thrun D,16:29,0,0,1,2,3,0,0,0,0/0
Sharks,Blue Jackets,away,D,Cody Ceci D,23:59,0,0,-1,2,0,0,0,1,0/0
Sharks,Blue Jackets,away,D,Mario Ferraro D,23:02,0,0,-1,4,1,0,0,0,0/0
Sharks,Blue Jackets,away,D,Timothy Liljegren D,19:25,0,0,0,1,0,2,0,1,0/0
Sharks,Blue Jackets,away,D,Jan Rutta D,15:36,0,0,0,1,2,2,0,0,0/0
Sharks,Blue Jackets,away,D,Jack Thompson D,17:38,1,0,1,1,2,0,1,0,0/0
Sharks,Blue Jackets,away,D,Henry Thrun D,16:29,0,0,1,2,3,0,0,0,0/0
Sharks,Blue Jackets,away,F,Macklin Celebrini C,17:06,0,0,0,3,0,2,0,1,7/13
Sharks,Blue Jackets,away,F,Ty Dellandrea C,13:22,0,0,0,0,2,0,0,1,3/6
Sharks,Blue Jackets,away,F,William Eklund L,19:11,0,0,1,1,3,0,0,1,0/0
Sharks,Blue Jackets,away,F,Barclay Goodrow C,14:47,0,0,0,1,1,0,0,0,1/2
Sharks,Blue Jackets,away,F,Mikael Granlund C,20:46,0,0,0,1,0,0,0,0,1/7
Sharks,Blue Jackets,away,F,Carl Grundstrom R,10:56,0,0,0,1,1,0,0,1,0/0
Sharks,Blue Jackets,away,F,Luke Kunin C,13:23,0,0,-1,0,2,0,0,0,1/1
Sharks,Blue Jackets,away,F,Will Smith C,15:58,0,1,0,1,0,0,0,0,3/11
Sharks,Blue Jackets,away,F,Nico Sturm C,12:02,0,0,0,3,0,0,0,0,5/6
Sharks,Blue Jackets,away,F,Tyler Toffoli C,13:05,0,0,0,3,0,0,0,0,0/0
Sharks,Blue Jackets,away,F,Alexander Wennberg C,17:13,1,0,1,1,0,2,2,0,6/10
Sharks,Blue Jackets,away,F,Fabian Zetterlund L,17:43,0,2,2,1,0,0,0,1,0/0
Sharks,Blue Jackets,away,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Blue Jackets,away,F,Cody Ceci D,23:59,0,0,-1,2,0,0,0,1,0/0
Sharks,Blue Jackets,away,F,Mario Ferraro D,23:02,0,0,-1,4,1,0,0,0,0/0
Sharks,Blue Jackets,away,F,Timothy Liljegren D,19:25,0,0,0,1,0,2,0,1,0/0
Sharks,Blue Jackets,away,F,Jan Rutta D,15:36,0,0,0,1,2,2,0,0,0/0
Sharks,Blue Jackets,away,F,Jack Thompson D,17:38,1,0,1,1,2,0,1,0,0/0
Sharks,Blue Jackets,away,F,Henry Thrun D,16:29,0,0,1,2,3,0,0,0,0/0
Sharks,Blue Jackets,away,F,Macklin Celebrini C,17:06,0,0,0,3,0,2,0,1,7/13
Sharks,Blue Jackets,away,F,Ty Dellandrea C,13:22,0,0,0,0,2,0,0,1,3/6
Sharks,Blue Jackets,away,F,William Eklund L,19:11,0,0,1,1,3,0,0,1,0/0
Sharks,Blue Jackets,away,F,Barclay Goodrow C,14:47,0,0,0,1,1,0,0,0,1/2
Sharks,Blue Jackets,away,F,Mikael Granlund C,20:46,0,0,0,1,0,0,0,0,1/7
Sharks,Blue Jackets,away,F,Carl Grundstrom R,10:56,0,0,0,1,1,0,0,1,0/0
Sharks,Blue Jackets,away,F,Luke Kunin C,13:23,0,0,-1,0,2,0,0,0,1/1
Sharks,Blue Jackets,away,F,Will Smith C,15:58,0,1,0,1,0,0,0,0,3/11
Sharks,Blue Jackets,away,F,Nico Sturm C,12:02,0,0,0,3,0,0,0,0,5/6
Sharks,Blue Jackets,away,F,Tyler Toffoli C,13:05,0,0,0,3,0,0,0,0,0/0
Sharks,Blue Jackets,away,F,Alexander Wennberg C,17:13,1,0,1,1,0,2,2,0,6/10
Sharks,Blue Jackets,away,F,Fabian Zetterlund L,17:43,0,2,2,1,0,0,0,1,0/0
Sharks,Blue Jackets,away,F,Sharks Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOCody
Sharks,Blue Jackets,away,F,Cody Ceci D,23:59,0,0,-1,2,0,0,0,1,0/0
Sharks,Blue Jackets,away,F,Mario Ferraro D,23:02,0,0,-1,4,1,0,0,0,0/0
Sharks,Blue Jackets,away,F,Timothy Liljegren D,19:25,0,0,0,1,0,2,0,1,0/0
Sharks,Blue Jackets,away,F,Jan Rutta D,15:36,0,0,0,1,2,2,0,0,0/0
Sharks,Blue Jackets,away,F,Jack Thompson D,17:38,1,0,1,1,2,0,1,0,0/0
Sharks,Blue Jackets,away,F,Henry Thrun D,16:29,0,0,1,2,3,0,0,0,0/0
