team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Predators,home,D,Mathew Dumba D,18:28,0,0,2,0,2,4,0,2,0/0
Stars,Predators,home,D,Thomas Harley D,19:23,0,1,0,4,2,0,0,1,0/0
Stars,Predators,home,D,Miro Heiskanen D,23:31,0,0,2,0,1,0,1,1,0/0
Stars,Predators,home,D,Esa Lindell D,21:45,0,0,-1,2,5,0,0,3,0/0
Stars,Predators,home,D,Nils Lundkvist D,12:23,0,0,1,0,0,2,0,0,0/0
Stars,Predators,home,D,Ilya Lyubushkin D,19:14,0,0,-2,0,1,0,0,1,0/0
Stars,Predators,home,D,Mathew Dumba D,18:28,0,0,2,0,2,4,0,2,0/0
Stars,Predators,home,D,Thomas Harley D,19:23,0,1,0,4,2,0,0,1,0/0
Stars,Predators,home,D,Miro Heiskanen D,23:31,0,0,2,0,1,0,1,1,0/0
Stars,Predators,home,D,Esa Lindell D,21:45,0,0,-1,2,5,0,0,3,0/0
Stars,Predators,home,D,Nils Lundkvist D,12:23,0,0,1,0,0,2,0,0,0/0
Stars,Predators,home,D,Ilya Lyubushkin D,19:14,0,0,-2,0,1,0,0,1,0/0
Stars,Predators,home,F,Oskar Back C,09:04,0,0,0,0,0,0,0,1,1/4
Stars,Predators,home,F,Jamie Benn L,17:34,0,0,-2,1,0,0,0,2,4/8
Stars,Predators,home,F,Colin Blackwell C,10:35,0,0,0,0,0,0,0,1,3/7
Stars,Predators,home,F,Evgenii Dadonov R,13:07,0,0,-2,3,0,0,0,1,0/0
Stars,Predators,home,F,Matt Duchene C,16:19,0,1,-1,1,1,0,0,0,3/8
Stars,Predators,home,F,Roope Hintz C,16:06,1,1,2,1,0,0,0,1,3/8
Stars,Predators,home,F,Wyatt Johnston C,21:09,0,1,1,4,1,0,0,0,3/10
Stars,Predators,home,F,Mason Marchment L,14:09,2,0,1,3,0,2,0,1,0/0
Stars,Predators,home,F,Jason Robertson L,16:45,1,0,2,1,1,0,1,1,0/0
Stars,Predators,home,F,Tyler Seguin C,15:30,0,1,1,0,0,0,0,2,1/6
Stars,Predators,home,F,Logan Stankoven C,12:29,0,3,2,0,1,0,0,0,1/3
Stars,Predators,home,F,Sam Steel C,12:35,0,0,-1,0,0,2,0,1,1/4
Stars,Predators,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Predators,home,F,Mathew Dumba D,18:28,0,0,2,0,2,4,0,2,0/0
Stars,Predators,home,F,Thomas Harley D,19:23,0,1,0,4,2,0,0,1,0/0
Stars,Predators,home,F,Miro Heiskanen D,23:31,0,0,2,0,1,0,1,1,0/0
Stars,Predators,home,F,Esa Lindell D,21:45,0,0,-1,2,5,0,0,3,0/0
Stars,Predators,home,F,Nils Lundkvist D,12:23,0,0,1,0,0,2,0,0,0/0
Stars,Predators,home,F,Ilya Lyubushkin D,19:14,0,0,-2,0,1,0,0,1,0/0
Stars,Predators,home,F,Oskar Back C,09:04,0,0,0,0,0,0,0,1,1/4
Stars,Predators,home,F,Jamie Benn L,17:34,0,0,-2,1,0,0,0,2,4/8
Stars,Predators,home,F,Colin Blackwell C,10:35,0,0,0,0,0,0,0,1,3/7
Stars,Predators,home,F,Evgenii Dadonov R,13:07,0,0,-2,3,0,0,0,1,0/0
Stars,Predators,home,F,Matt Duchene C,16:19,0,1,-1,1,1,0,0,0,3/8
Stars,Predators,home,F,Roope Hintz C,16:06,1,1,2,1,0,0,0,1,3/8
Stars,Predators,home,F,Wyatt Johnston C,21:09,0,1,1,4,1,0,0,0,3/10
Stars,Predators,home,F,Mason Marchment L,14:09,2,0,1,3,0,2,0,1,0/0
Stars,Predators,home,F,Jason Robertson L,16:45,1,0,2,1,1,0,1,1,0/0
Stars,Predators,home,F,Tyler Seguin C,15:30,0,1,1,0,0,0,0,2,1/6
Stars,Predators,home,F,Logan Stankoven C,12:29,0,3,2,0,1,0,0,0,1/3
Stars,Predators,home,F,Sam Steel C,12:35,0,0,-1,0,0,2,0,1,1/4
Stars,Predators,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Predators,home,F,Mathew Dumba D,18:28,0,0,2,0,2,4,0,2,0/0
Stars,Predators,home,F,Thomas Harley D,19:23,0,1,0,4,2,0,0,1,0/0
Stars,Predators,home,F,Miro Heiskanen D,23:31,0,0,2,0,1,0,1,1,0/0
Stars,Predators,home,F,Esa Lindell D,21:45,0,0,-1,2,5,0,0,3,0/0
Stars,Predators,home,F,Nils Lundkvist D,12:23,0,0,1,0,0,2,0,0,0/0
Stars,Predators,home,F,Ilya Lyubushkin D,19:14,0,0,-2,0,1,0,0,1,0/0
