team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Kraken,away,D,Thomas Harley D,22:32,0,1,1,3,1,0,0,1,0/0
Stars,Kraken,away,D,Miro Heiskanen D,25:32,0,0,1,1,3,0,0,1,0/0
Stars,Kraken,away,D,Esa Lindell D,21:23,0,0,1,0,4,0,0,2,0/0
Stars,Kraken,away,D,Nils Lundkvist D,14:32,0,0,0,1,0,0,0,0,0/0
Stars,Kraken,away,D,Ilya Lyubushkin D,17:49,0,0,1,0,1,0,0,0,0/0
Stars,Kraken,away,D,Brendan Smith D,13:07,0,0,0,0,3,0,0,3,0/0
Stars,Kraken,away,D,Thomas Harley D,22:32,0,1,1,3,1,0,0,1,0/0
Stars,Kraken,away,D,Miro Heiskanen D,25:32,0,0,1,1,3,0,0,1,0/0
Stars,Kraken,away,D,Esa Lindell D,21:23,0,0,1,0,4,0,0,2,0/0
Stars,Kraken,away,D,Nils Lundkvist D,14:32,0,0,0,1,0,0,0,0,0/0
Stars,Kraken,away,D,Ilya Lyubushkin D,17:49,0,0,1,0,1,0,0,0,0/0
Stars,Kraken,away,D,Brendan Smith D,13:07,0,0,0,0,3,0,0,3,0/0
Stars,Kraken,away,F,Jamie Benn L,15:27,0,1,1,0,0,0,0,1,2/4
Stars,Kraken,away,F,Colin Blackwell C,09:40,0,1,1,1,0,0,1,0,2/7
Stars,Kraken,away,F,Oskar Bäck C,08:47,0,0,1,0,0,0,1,0,1/1
Stars,Kraken,away,F,Evgenii Dadonov R,13:06,0,0,0,3,0,2,0,0,0/0
Stars,Kraken,away,F,Matt Duchene C,15:46,0,0,0,1,0,0,0,1,3/4
Stars,Kraken,away,F,Roope Hintz C,18:17,0,0,0,2,1,0,0,1,4/9
Stars,Kraken,away,F,Wyatt Johnston C,18:14,1,0,1,1,2,2,0,0,6/11
Stars,Kraken,away,F,Mason Marchment L,14:29,0,0,0,2,0,4,1,1,0/0
Stars,Kraken,away,F,Jason Robertson L,18:39,0,0,0,2,0,2,1,1,0/0
Stars,Kraken,away,F,Tyler Seguin C,14:17,0,0,0,2,0,0,0,0,7/10
Stars,Kraken,away,F,Logan Stankoven C,15:14,0,1,1,3,0,0,0,0,1/4
Stars,Kraken,away,F,Sam Steel C,13:30,1,0,1,1,0,0,1,1,1/2
Stars,Kraken,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Stars,Kraken,away,F,Thomas Harley D,22:32,0,1,1,3,1,0,0,1,0/0
Stars,Kraken,away,F,Miro Heiskanen D,25:32,0,0,1,1,3,0,0,1,0/0
Stars,Kraken,away,F,Esa Lindell D,21:23,0,0,1,0,4,0,0,2,0/0
Stars,Kraken,away,F,Nils Lundkvist D,14:32,0,0,0,1,0,0,0,0,0/0
Stars,Kraken,away,F,Ilya Lyubushkin D,17:49,0,0,1,0,1,0,0,0,0/0
Stars,Kraken,away,F,Brendan Smith D,13:07,0,0,0,0,3,0,0,3,0/0
Stars,Kraken,away,F,Jamie Benn L,15:27,0,1,1,0,0,0,0,1,2/4
Stars,Kraken,away,F,Colin Blackwell C,09:40,0,1,1,1,0,0,1,0,2/7
Stars,Kraken,away,F,Oskar Bäck C,08:47,0,0,1,0,0,0,1,0,1/1
Stars,Kraken,away,F,Evgenii Dadonov R,13:06,0,0,0,3,0,2,0,0,0/0
Stars,Kraken,away,F,Matt Duchene C,15:46,0,0,0,1,0,0,0,1,3/4
Stars,Kraken,away,F,Roope Hintz C,18:17,0,0,0,2,1,0,0,1,4/9
Stars,Kraken,away,F,Wyatt Johnston C,18:14,1,0,1,1,2,2,0,0,6/11
Stars,Kraken,away,F,Mason Marchment L,14:29,0,0,0,2,0,4,1,1,0/0
Stars,Kraken,away,F,Jason Robertson L,18:39,0,0,0,2,0,2,1,1,0/0
Stars,Kraken,away,F,Tyler Seguin C,14:17,0,0,0,2,0,0,0,0,7/10
Stars,Kraken,away,F,Logan Stankoven C,15:14,0,1,1,3,0,0,0,0,1/4
Stars,Kraken,away,F,Sam Steel C,13:30,1,0,1,1,0,0,1,1,1/2
Stars,Kraken,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Stars,Kraken,away,F,Thomas Harley D,22:32,0,1,1,3,1,0,0,1,0/0
Stars,Kraken,away,F,Miro Heiskanen D,25:32,0,0,1,1,3,0,0,1,0/0
Stars,Kraken,away,F,Esa Lindell D,21:23,0,0,1,0,4,0,0,2,0/0
Stars,Kraken,away,F,Nils Lundkvist D,14:32,0,0,0,1,0,0,0,0,0/0
Stars,Kraken,away,F,Ilya Lyubushkin D,17:49,0,0,1,0,1,0,0,0,0/0
Stars,Kraken,away,F,Brendan Smith D,13:07,0,0,0,0,3,0,0,3,0/0
