team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Sharks,away,D,Thomas Harley D,26:34,0,0,-1,4,0,0,0,3,0/0
Stars,Sharks,away,D,Miro Heiskanen D,24:53,0,0,0,3,2,0,1,1,0/0
Stars,Sharks,away,D,Esa Lindell D,23:22,0,0,0,3,1,0,1,1,0/0
Stars,Sharks,away,D,Nils Lundkvist D,16:26,0,0,0,1,0,2,0,2,0/0
Stars,Sharks,away,D,Ilya Lyubushkin D,16:47,0,0,1,1,3,0,1,1,0/0
Stars,Sharks,away,D,Brendan Smith D,11:34,0,0,0,2,0,0,0,1,0/0
Stars,Sharks,away,D,Thomas Harley D,26:34,0,0,-1,4,0,0,0,3,0/0
Stars,Sharks,away,D,Miro Heiskanen D,24:53,0,0,0,3,2,0,1,1,0/0
Stars,Sharks,away,D,Esa Lindell D,23:22,0,0,0,3,1,0,1,1,0/0
Stars,Sharks,away,D,Nils Lundkvist D,16:26,0,0,0,1,0,2,0,2,0/0
Stars,Sharks,away,D,Ilya Lyubushkin D,16:47,0,0,1,1,3,0,1,1,0/0
Stars,Sharks,away,D,Brendan Smith D,11:34,0,0,0,2,0,0,0,1,0/0
Stars,Sharks,away,F,Jamie Benn L,16:16,0,0,-1,2,0,0,0,0,6/8
Stars,Sharks,away,F,Colin Blackwell C,09:51,0,0,0,1,1,2,0,0,1/8
Stars,Sharks,away,F,Mavrik Bourque C,11:51,0,0,-1,1,1,0,0,2,4/4
Stars,Sharks,away,F,Oskar Bäck C,10:07,0,0,0,0,0,0,0,1,0/0
Stars,Sharks,away,F,Evgenii Dadonov R,16:26,0,0,0,3,2,0,0,3,0/0
Stars,Sharks,away,F,Matt Duchene C,18:32,1,0,1,3,0,2,0,2,7/11
Stars,Sharks,away,F,Roope Hintz C,19:56,1,0,0,4,1,0,1,1,3/8
Stars,Sharks,away,F,Wyatt Johnston C,20:18,0,1,0,1,0,0,1,0,7/13
Stars,Sharks,away,F,Mason Marchment L,17:30,0,1,1,0,0,0,0,1,0/0
Stars,Sharks,away,F,Jason Robertson L,18:25,0,1,0,3,2,0,0,1,0/0
Stars,Sharks,away,F,Logan Stankoven C,17:51,0,1,0,5,0,0,0,0,1/3
Stars,Sharks,away,F,Sam Steel C,13:33,0,0,0,1,0,0,0,1,1/2
Stars,Sharks,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Stars,Sharks,away,F,Thomas Harley D,26:34,0,0,-1,4,0,0,0,3,0/0
Stars,Sharks,away,F,Miro Heiskanen D,24:53,0,0,0,3,2,0,1,1,0/0
Stars,Sharks,away,F,Esa Lindell D,23:22,0,0,0,3,1,0,1,1,0/0
Stars,Sharks,away,F,Nils Lundkvist D,16:26,0,0,0,1,0,2,0,2,0/0
Stars,Sharks,away,F,Ilya Lyubushkin D,16:47,0,0,1,1,3,0,1,1,0/0
Stars,Sharks,away,F,Brendan Smith D,11:34,0,0,0,2,0,0,0,1,0/0
Stars,Sharks,away,F,Jamie Benn L,16:16,0,0,-1,2,0,0,0,0,6/8
Stars,Sharks,away,F,Colin Blackwell C,09:51,0,0,0,1,1,2,0,0,1/8
Stars,Sharks,away,F,Mavrik Bourque C,11:51,0,0,-1,1,1,0,0,2,4/4
Stars,Sharks,away,F,Oskar Bäck C,10:07,0,0,0,0,0,0,0,1,0/0
Stars,Sharks,away,F,Evgenii Dadonov R,16:26,0,0,0,3,2,0,0,3,0/0
Stars,Sharks,away,F,Matt Duchene C,18:32,1,0,1,3,0,2,0,2,7/11
Stars,Sharks,away,F,Roope Hintz C,19:56,1,0,0,4,1,0,1,1,3/8
Stars,Sharks,away,F,Wyatt Johnston C,20:18,0,1,0,1,0,0,1,0,7/13
Stars,Sharks,away,F,Mason Marchment L,17:30,0,1,1,0,0,0,0,1,0/0
Stars,Sharks,away,F,Jason Robertson L,18:25,0,1,0,3,2,0,0,1,0/0
Stars,Sharks,away,F,Logan Stankoven C,17:51,0,1,0,5,0,0,0,0,1/3
Stars,Sharks,away,F,Sam Steel C,13:33,0,0,0,1,0,0,0,1,1/2
Stars,Sharks,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOThomas
Stars,Sharks,away,F,Thomas Harley D,26:34,0,0,-1,4,0,0,0,3,0/0
Stars,Sharks,away,F,Miro Heiskanen D,24:53,0,0,0,3,2,0,1,1,0/0
Stars,Sharks,away,F,Esa Lindell D,23:22,0,0,0,3,1,0,1,1,0/0
Stars,Sharks,away,F,Nils Lundkvist D,16:26,0,0,0,1,0,2,0,2,0/0
Stars,Sharks,away,F,Ilya Lyubushkin D,16:47,0,0,1,1,3,0,1,1,0/0
Stars,Sharks,away,F,Brendan Smith D,11:34,0,0,0,2,0,0,0,1,0/0
