team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Sabres,home,D,Mathew Dumba D,17:10,0,0,-1,0,1,0,0,0,0/0
Stars,Sabres,home,D,Thomas Harley D,22:31,1,0,1,1,0,0,1,1,0/0
Stars,Sabres,home,D,Miro Heiskanen D,26:23,0,0,-3,7,2,0,0,2,0/0
Stars,Sabres,home,D,Esa Lindell D,15:39,0,0,0,3,1,2,3,0,0/0
Stars,Sabres,home,D,Nils Lundkvist D,13:03,0,0,-1,1,2,0,1,0,0/0
Stars,Sabres,home,D,Ilya Lyubushkin D,14:28,0,0,-1,1,4,0,1,2,0/0
Stars,Sabres,home,D,Mathew Dumba D,17:10,0,0,-1,0,1,0,0,0,0/0
Stars,Sabres,home,D,Thomas Harley D,22:31,1,0,1,1,0,0,1,1,0/0
Stars,Sabres,home,D,Miro Heiskanen D,26:23,0,0,-3,7,2,0,0,2,0/0
Stars,Sabres,home,D,Esa Lindell D,15:39,0,0,0,3,1,2,3,0,0/0
Stars,Sabres,home,D,Nils Lundkvist D,13:03,0,0,-1,1,2,0,1,0,0/0
Stars,Sabres,home,D,Ilya Lyubushkin D,14:28,0,0,-1,1,4,0,1,2,0/0
Stars,Sabres,home,F,Jamie Benn L,16:08,0,0,0,0,0,0,0,2,5/7
Stars,Sabres,home,F,Colin Blackwell C,11:22,0,0,-1,1,0,0,0,0,1/1
Stars,Sabres,home,F,Mavrik Bourque C,12:31,0,1,1,0,0,0,0,1,0/3
Stars,Sabres,home,F,Evgenii Dadonov R,14:08,0,2,2,1,3,0,0,2,0/0
Stars,Sabres,home,F,Matt Duchene C,15:57,0,1,1,1,0,0,1,1,3/6
Stars,Sabres,home,F,Roope Hintz C,19:25,0,0,-2,1,2,0,0,0,8/10
Stars,Sabres,home,F,Wyatt Johnston C,19:19,0,0,-2,4,0,0,0,0,3/6
Stars,Sabres,home,F,Mason Marchment L,16:47,0,0,0,1,2,0,0,2,0/0
Stars,Sabres,home,F,Jason Robertson L,21:19,0,0,-2,3,0,0,0,0,0/0
Stars,Sabres,home,F,Tyler Seguin C,16:05,1,0,2,1,0,0,0,0,3/6
Stars,Sabres,home,F,Logan Stankoven C,18:19,0,0,-2,3,1,0,0,1,0/1
Stars,Sabres,home,F,Sam Steel C,12:56,0,0,-1,1,1,0,1,0,7/9
Stars,Sabres,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Sabres,home,F,Mathew Dumba D,17:10,0,0,-1,0,1,0,0,0,0/0
Stars,Sabres,home,F,Thomas Harley D,22:31,1,0,1,1,0,0,1,1,0/0
Stars,Sabres,home,F,Miro Heiskanen D,26:23,0,0,-3,7,2,0,0,2,0/0
Stars,Sabres,home,F,Esa Lindell D,15:39,0,0,0,3,1,2,3,0,0/0
Stars,Sabres,home,F,Nils Lundkvist D,13:03,0,0,-1,1,2,0,1,0,0/0
Stars,Sabres,home,F,Ilya Lyubushkin D,14:28,0,0,-1,1,4,0,1,2,0/0
Stars,Sabres,home,F,Jamie Benn L,16:08,0,0,0,0,0,0,0,2,5/7
Stars,Sabres,home,F,Colin Blackwell C,11:22,0,0,-1,1,0,0,0,0,1/1
Stars,Sabres,home,F,Mavrik Bourque C,12:31,0,1,1,0,0,0,0,1,0/3
Stars,Sabres,home,F,Evgenii Dadonov R,14:08,0,2,2,1,3,0,0,2,0/0
Stars,Sabres,home,F,Matt Duchene C,15:57,0,1,1,1,0,0,1,1,3/6
Stars,Sabres,home,F,Roope Hintz C,19:25,0,0,-2,1,2,0,0,0,8/10
Stars,Sabres,home,F,Wyatt Johnston C,19:19,0,0,-2,4,0,0,0,0,3/6
Stars,Sabres,home,F,Mason Marchment L,16:47,0,0,0,1,2,0,0,2,0/0
Stars,Sabres,home,F,Jason Robertson L,21:19,0,0,-2,3,0,0,0,0,0/0
Stars,Sabres,home,F,Tyler Seguin C,16:05,1,0,2,1,0,0,0,0,3/6
Stars,Sabres,home,F,Logan Stankoven C,18:19,0,0,-2,3,1,0,0,1,0/1
Stars,Sabres,home,F,Sam Steel C,12:56,0,0,-1,1,1,0,1,0,7/9
Stars,Sabres,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Sabres,home,F,Mathew Dumba D,17:10,0,0,-1,0,1,0,0,0,0/0
Stars,Sabres,home,F,Thomas Harley D,22:31,1,0,1,1,0,0,1,1,0/0
Stars,Sabres,home,F,Miro Heiskanen D,26:23,0,0,-3,7,2,0,0,2,0/0
Stars,Sabres,home,F,Esa Lindell D,15:39,0,0,0,3,1,2,3,0,0/0
Stars,Sabres,home,F,Nils Lundkvist D,13:03,0,0,-1,1,2,0,1,0,0/0
Stars,Sabres,home,F,Ilya Lyubushkin D,14:28,0,0,-1,1,4,0,1,2,0/0
