team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Panthers,home,D,Mathew Dumba D,16:05,0,0,0,2,1,2,0,3,0/0
Stars,Panthers,home,D,Thomas Harley D,24:20,0,1,0,1,0,0,1,3,0/0
Stars,Panthers,home,D,Miro Heiskanen D,25:32,0,1,0,2,2,0,1,1,0/0
Stars,Panthers,home,D,Esa Lindell D,20:44,0,0,-2,2,0,2,0,4,0/0
Stars,Panthers,home,D,Ilya Lyubushkin D,15:10,0,0,-2,0,1,0,0,0,0/0
Stars,Panthers,home,D,Brendan Smith D,12:45,0,0,0,0,1,0,0,1,0/0
Stars,Panthers,home,D,Mathew Dumba D,16:05,0,0,0,2,1,2,0,3,0/0
Stars,Panthers,home,D,Thomas Harley D,24:20,0,1,0,1,0,0,1,3,0/0
Stars,Panthers,home,D,Miro Heiskanen D,25:32,0,1,0,2,2,0,1,1,0/0
Stars,Panthers,home,D,Esa Lindell D,20:44,0,0,-2,2,0,2,0,4,0/0
Stars,Panthers,home,D,Ilya Lyubushkin D,15:10,0,0,-2,0,1,0,0,0,0/0
Stars,Panthers,home,D,Brendan Smith D,12:45,0,0,0,0,1,0,0,1,0/0
Stars,Panthers,home,F,Jamie Benn L,16:47,0,0,-1,3,0,0,0,2,1/4
Stars,Panthers,home,F,Colin Blackwell C,11:52,0,0,-1,1,0,0,0,0,3/10
Stars,Panthers,home,F,Mavrik Bourque C,09:57,0,0,0,0,0,0,0,1,1/1
Stars,Panthers,home,F,Oskar Bäck C,09:29,0,0,-1,1,0,0,0,4,1/2
Stars,Panthers,home,F,Evgenii Dadonov R,16:31,1,0,0,2,0,0,1,1,0/0
Stars,Panthers,home,F,Matt Duchene C,15:14,1,1,-1,2,1,0,0,2,10/13
Stars,Panthers,home,F,Roope Hintz C,17:25,0,0,-1,1,2,0,0,2,1/2
Stars,Panthers,home,F,Wyatt Johnston C,19:48,0,1,0,2,1,0,0,1,6/13
Stars,Panthers,home,F,Mason Marchment L,12:40,0,0,0,0,0,9,0,0,0/0
Stars,Panthers,home,F,Jason Robertson L,19:30,0,0,0,1,0,2,1,4,0/0
Stars,Panthers,home,F,Logan Stankoven C,17:38,0,0,-1,5,1,0,1,1,2/3
Stars,Panthers,home,F,Sam Steel C,12:39,0,0,-1,0,0,0,0,2,4/6
Stars,Panthers,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Panthers,home,F,Mathew Dumba D,16:05,0,0,0,2,1,2,0,3,0/0
Stars,Panthers,home,F,Thomas Harley D,24:20,0,1,0,1,0,0,1,3,0/0
Stars,Panthers,home,F,Miro Heiskanen D,25:32,0,1,0,2,2,0,1,1,0/0
Stars,Panthers,home,F,Esa Lindell D,20:44,0,0,-2,2,0,2,0,4,0/0
Stars,Panthers,home,F,Ilya Lyubushkin D,15:10,0,0,-2,0,1,0,0,0,0/0
Stars,Panthers,home,F,Brendan Smith D,12:45,0,0,0,0,1,0,0,1,0/0
Stars,Panthers,home,F,Jamie Benn L,16:47,0,0,-1,3,0,0,0,2,1/4
Stars,Panthers,home,F,Colin Blackwell C,11:52,0,0,-1,1,0,0,0,0,3/10
Stars,Panthers,home,F,Mavrik Bourque C,09:57,0,0,0,0,0,0,0,1,1/1
Stars,Panthers,home,F,Oskar Bäck C,09:29,0,0,-1,1,0,0,0,4,1/2
Stars,Panthers,home,F,Evgenii Dadonov R,16:31,1,0,0,2,0,0,1,1,0/0
Stars,Panthers,home,F,Matt Duchene C,15:14,1,1,-1,2,1,0,0,2,10/13
Stars,Panthers,home,F,Roope Hintz C,17:25,0,0,-1,1,2,0,0,2,1/2
Stars,Panthers,home,F,Wyatt Johnston C,19:48,0,1,0,2,1,0,0,1,6/13
Stars,Panthers,home,F,Mason Marchment L,12:40,0,0,0,0,0,9,0,0,0/0
Stars,Panthers,home,F,Jason Robertson L,19:30,0,0,0,1,0,2,1,4,0/0
Stars,Panthers,home,F,Logan Stankoven C,17:38,0,0,-1,5,1,0,1,1,2/3
Stars,Panthers,home,F,Sam Steel C,12:39,0,0,-1,0,0,0,0,2,4/6
Stars,Panthers,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Panthers,home,F,Mathew Dumba D,16:05,0,0,0,2,1,2,0,3,0/0
Stars,Panthers,home,F,Thomas Harley D,24:20,0,1,0,1,0,0,1,3,0/0
Stars,Panthers,home,F,Miro Heiskanen D,25:32,0,1,0,2,2,0,1,1,0/0
Stars,Panthers,home,F,Esa Lindell D,20:44,0,0,-2,2,0,2,0,4,0/0
Stars,Panthers,home,F,Ilya Lyubushkin D,15:10,0,0,-2,0,1,0,0,0,0/0
Stars,Panthers,home,F,Brendan Smith D,12:45,0,0,0,0,1,0,0,1,0/0
