team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Blackhawks,away,D,Mathew Dumba D,18:14,0,0,0,1,0,0,0,2,0/0
Stars,Blackhawks,away,D,Thomas Harley D,20:35,0,0,0,6,1,2,0,0,0/0
Stars,Blackhawks,away,D,Miro Heiskanen D,25:23,0,0,0,2,5,0,1,2,0/0
Stars,Blackhawks,away,D,Esa Lindell D,20:54,0,1,3,0,2,0,0,0,0/0
Stars,Blackhawks,away,D,Nils Lundkvist D,12:27,0,1,1,3,0,0,0,1,0/0
Stars,Blackhawks,away,D,Ilya Lyubushkin D,16:48,0,1,2,1,1,0,0,1,0/0
Stars,Blackhawks,away,D,Mathew Dumba D,18:14,0,0,0,1,0,0,0,2,0/0
Stars,Blackhawks,away,D,Thomas Harley D,20:35,0,0,0,6,1,2,0,0,0/0
Stars,Blackhawks,away,D,Miro Heiskanen D,25:23,0,0,0,2,5,0,1,2,0/0
Stars,Blackhawks,away,D,Esa Lindell D,20:54,0,1,3,0,2,0,0,0,0/0
Stars,Blackhawks,away,D,Nils Lundkvist D,12:27,0,1,1,3,0,0,0,1,0/0
Stars,Blackhawks,away,D,Ilya Lyubushkin D,16:48,0,1,2,1,1,0,0,1,0/0
Stars,Blackhawks,away,F,Jamie Benn L,15:42,0,1,1,6,1,0,0,1,16/16
Stars,Blackhawks,away,F,Colin Blackwell C,12:56,0,0,0,1,0,0,0,1,3/3
Stars,Blackhawks,away,F,Mavrik Bourque C,11:18,0,0,0,0,0,0,1,1,3/6
Stars,Blackhawks,away,F,Oskar Bäck C,10:09,0,0,0,1,1,0,0,0,0/2
Stars,Blackhawks,away,F,Evgenii Dadonov R,14:45,0,0,0,0,1,2,0,0,0/0
Stars,Blackhawks,away,F,Matt Duchene C,15:03,0,0,1,0,0,0,0,0,1/2
Stars,Blackhawks,away,F,Roope Hintz C,15:17,0,0,0,2,1,0,1,0,12/14
Stars,Blackhawks,away,F,Wyatt Johnston C,19:28,0,0,2,2,1,2,0,3,1/5
Stars,Blackhawks,away,F,Jason Robertson L,18:20,0,0,0,2,1,0,0,3,0/0
Stars,Blackhawks,away,F,Tyler Seguin C,14:39,1,0,1,3,0,0,0,1,3/7
Stars,Blackhawks,away,F,Logan Stankoven C,18:41,1,1,2,6,0,0,0,1,1/1
Stars,Blackhawks,away,F,Sam Steel C,14:58,1,1,2,4,0,0,0,0,0/0
Stars,Blackhawks,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Blackhawks,away,F,Mathew Dumba D,18:14,0,0,0,1,0,0,0,2,0/0
Stars,Blackhawks,away,F,Thomas Harley D,20:35,0,0,0,6,1,2,0,0,0/0
Stars,Blackhawks,away,F,Miro Heiskanen D,25:23,0,0,0,2,5,0,1,2,0/0
Stars,Blackhawks,away,F,Esa Lindell D,20:54,0,1,3,0,2,0,0,0,0/0
Stars,Blackhawks,away,F,Nils Lundkvist D,12:27,0,1,1,3,0,0,0,1,0/0
Stars,Blackhawks,away,F,Ilya Lyubushkin D,16:48,0,1,2,1,1,0,0,1,0/0
Stars,Blackhawks,away,F,Jamie Benn L,15:42,0,1,1,6,1,0,0,1,16/16
Stars,Blackhawks,away,F,Colin Blackwell C,12:56,0,0,0,1,0,0,0,1,3/3
Stars,Blackhawks,away,F,Mavrik Bourque C,11:18,0,0,0,0,0,0,1,1,3/6
Stars,Blackhawks,away,F,Oskar Bäck C,10:09,0,0,0,1,1,0,0,0,0/2
Stars,Blackhawks,away,F,Evgenii Dadonov R,14:45,0,0,0,0,1,2,0,0,0/0
Stars,Blackhawks,away,F,Matt Duchene C,15:03,0,0,1,0,0,0,0,0,1/2
Stars,Blackhawks,away,F,Roope Hintz C,15:17,0,0,0,2,1,0,1,0,12/14
Stars,Blackhawks,away,F,Wyatt Johnston C,19:28,0,0,2,2,1,2,0,3,1/5
Stars,Blackhawks,away,F,Jason Robertson L,18:20,0,0,0,2,1,0,0,3,0/0
Stars,Blackhawks,away,F,Tyler Seguin C,14:39,1,0,1,3,0,0,0,1,3/7
Stars,Blackhawks,away,F,Logan Stankoven C,18:41,1,1,2,6,0,0,0,1,1/1
Stars,Blackhawks,away,F,Sam Steel C,14:58,1,1,2,4,0,0,0,0,0/0
Stars,Blackhawks,away,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Blackhawks,away,F,Mathew Dumba D,18:14,0,0,0,1,0,0,0,2,0/0
Stars,Blackhawks,away,F,Thomas Harley D,20:35,0,0,0,6,1,2,0,0,0/0
Stars,Blackhawks,away,F,Miro Heiskanen D,25:23,0,0,0,2,5,0,1,2,0/0
Stars,Blackhawks,away,F,Esa Lindell D,20:54,0,1,3,0,2,0,0,0,0/0
Stars,Blackhawks,away,F,Nils Lundkvist D,12:27,0,1,1,3,0,0,0,1,0/0
Stars,Blackhawks,away,F,Ilya Lyubushkin D,16:48,0,1,2,1,1,0,0,1,0/0
