team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Stars,Jets,home,D,Mathew Dumba D,18:08,0,0,-1,2,1,0,0,1,0/0
Stars,Jets,home,D,Thomas Harley D,20:33,0,1,1,2,2,2,1,0,0/0
Stars,Jets,home,D,Miro Heiskanen D,22:47,0,0,-1,1,1,0,0,0,0/0
Stars,Jets,home,D,Esa Lindell D,21:01,0,0,-1,3,2,0,0,3,0/0
Stars,Jets,home,D,Nils Lundkvist D,14:44,0,0,-1,0,0,0,0,0,0/0
Stars,Jets,home,D,Ilya Lyubushkin D,16:44,0,0,0,0,2,0,0,2,0/0
Stars,Jets,home,D,Mathew Dumba D,18:08,0,0,-1,2,1,0,0,1,0/0
Stars,Jets,home,D,Thomas Harley D,20:33,0,1,1,2,2,2,1,0,0/0
Stars,Jets,home,D,Miro Heiskanen D,22:47,0,0,-1,1,1,0,0,0,0/0
Stars,Jets,home,D,Esa Lindell D,21:01,0,0,-1,3,2,0,0,3,0/0
Stars,Jets,home,D,Nils Lundkvist D,14:44,0,0,-1,0,0,0,0,0,0/0
Stars,Jets,home,D,Ilya Lyubushkin D,16:44,0,0,0,0,2,0,0,2,0/0
Stars,Jets,home,F,Jamie Benn L,11:03,0,0,-1,0,0,19,1,0,5/8
Stars,Jets,home,F,Colin Blackwell C,12:46,0,0,0,1,0,0,0,0,0/0
Stars,Jets,home,F,Mavrik Bourque C,11:00,0,0,0,1,0,0,0,1,0/0
Stars,Jets,home,F,Evgenii Dadonov R,14:07,0,1,1,2,0,0,0,3,0/0
Stars,Jets,home,F,Matt Duchene C,17:02,0,0,-1,1,1,2,0,0,5/11
Stars,Jets,home,F,Roope Hintz C,14:54,1,0,1,4,0,0,0,1,7/10
Stars,Jets,home,F,Wyatt Johnston C,17:53,0,0,-1,3,0,0,0,1,2/7
Stars,Jets,home,F,Mason Marchment L,13:35,0,0,0,2,0,0,1,0,0/0
Stars,Jets,home,F,Jason Robertson L,16:48,0,0,1,3,0,0,0,1,1/2
Stars,Jets,home,F,Tyler Seguin C,17:05,0,0,-1,3,1,2,1,2,6/6
Stars,Jets,home,F,Logan Stankoven C,14:46,0,0,0,5,0,0,0,0,0/0
Stars,Jets,home,F,Sam Steel C,14:53,0,0,-1,0,0,2,1,0,2/8
Stars,Jets,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Jets,home,F,Mathew Dumba D,18:08,0,0,-1,2,1,0,0,1,0/0
Stars,Jets,home,F,Thomas Harley D,20:33,0,1,1,2,2,2,1,0,0/0
Stars,Jets,home,F,Miro Heiskanen D,22:47,0,0,-1,1,1,0,0,0,0/0
Stars,Jets,home,F,Esa Lindell D,21:01,0,0,-1,3,2,0,0,3,0/0
Stars,Jets,home,F,Nils Lundkvist D,14:44,0,0,-1,0,0,0,0,0,0/0
Stars,Jets,home,F,Ilya Lyubushkin D,16:44,0,0,0,0,2,0,0,2,0/0
Stars,Jets,home,F,Jamie Benn L,11:03,0,0,-1,0,0,19,1,0,5/8
Stars,Jets,home,F,Colin Blackwell C,12:46,0,0,0,1,0,0,0,0,0/0
Stars,Jets,home,F,Mavrik Bourque C,11:00,0,0,0,1,0,0,0,1,0/0
Stars,Jets,home,F,Evgenii Dadonov R,14:07,0,1,1,2,0,0,0,3,0/0
Stars,Jets,home,F,Matt Duchene C,17:02,0,0,-1,1,1,2,0,0,5/11
Stars,Jets,home,F,Roope Hintz C,14:54,1,0,1,4,0,0,0,1,7/10
Stars,Jets,home,F,Wyatt Johnston C,17:53,0,0,-1,3,0,0,0,1,2/7
Stars,Jets,home,F,Mason Marchment L,13:35,0,0,0,2,0,0,1,0,0/0
Stars,Jets,home,F,Jason Robertson L,16:48,0,0,1,3,0,0,0,1,1/2
Stars,Jets,home,F,Tyler Seguin C,17:05,0,0,-1,3,1,2,1,2,6/6
Stars,Jets,home,F,Logan Stankoven C,14:46,0,0,0,5,0,0,0,0,0/0
Stars,Jets,home,F,Sam Steel C,14:53,0,0,-1,0,0,2,1,0,2/8
Stars,Jets,home,F,Stars Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOMathew
Stars,Jets,home,F,Mathew Dumba D,18:08,0,0,-1,2,1,0,0,1,0/0
Stars,Jets,home,F,Thomas Harley D,20:33,0,1,1,2,2,2,1,0,0/0
Stars,Jets,home,F,Miro Heiskanen D,22:47,0,0,-1,1,1,0,0,0,0/0
Stars,Jets,home,F,Esa Lindell D,21:01,0,0,-1,3,2,0,0,3,0/0
Stars,Jets,home,F,Nils Lundkvist D,14:44,0,0,-1,0,0,0,0,0,0/0
Stars,Jets,home,F,Ilya Lyubushkin D,16:44,0,0,0,0,2,0,0,2,0/0
