team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Wild,Flyers,home,D,Zach Bogosian D,17:50,0,1,-3,0,2,0,0,0,0/0
Wild,Flyers,home,D,Jonas Brodin D,20:45,0,1,-3,2,1,0,0,2,0/0
Wild,Flyers,home,D,Declan Chisholm D,14:15,0,1,0,0,0,0,0,2,0/0
Wild,Flyers,home,D,Brock Faber D,26:48,1,0,1,2,0,0,1,1,0/0
Wild,Flyers,home,D,Jon Merrill D,12:50,0,0,0,0,1,0,0,0,0/0
Wild,Flyers,home,D,Jake Middleton D,19:37,1,0,2,2,0,0,0,2,0/0
Wild,Flyers,home,D,Zach Bogosian D,17:50,0,1,-3,0,2,0,0,0,0/0
Wild,Flyers,home,D,Jonas Brodin D,20:45,0,1,-3,2,1,0,0,2,0/0
Wild,Flyers,home,D,Declan Chisholm D,14:15,0,1,0,0,0,0,0,2,0/0
Wild,Flyers,home,D,Brock Faber D,26:48,1,0,1,2,0,0,1,1,0/0
Wild,Flyers,home,D,Jon Merrill D,12:50,0,0,0,0,1,0,0,0,0/0
Wild,Flyers,home,D,Jake Middleton D,19:37,1,0,2,2,0,0,0,2,0/0
Wild,Flyers,home,F,Matt Boldy L,22:58,0,1,-3,9,3,2,1,1,1/1
Wild,Flyers,home,F,Joel Eriksson Ek C,21:09,1,1,-1,3,0,0,1,0,12/22
Wild,Flyers,home,F,Marcus Foligno L,12:34,2,0,2,3,3,0,0,1,0/0
Wild,Flyers,home,F,Frederick Gaudreau C,14:59,0,0,2,1,0,0,0,0,9/16
Wild,Flyers,home,F,Marcus Johansson L,17:26,0,0,-2,0,0,0,0,1,0/0
Wild,Flyers,home,F,Kirill Kaprizov L,24:36,0,2,0,3,0,0,0,0,0/0
Wild,Flyers,home,F,Marat Khusnutdinov C,08:25,0,0,-2,0,2,0,0,1,3/7
Wild,Flyers,home,F,Jakub Lauko C,07:46,0,0,-2,0,1,0,0,1,0/1
Wild,Flyers,home,F,Liam Ohgren L,06:46,0,0,-1,0,0,0,0,1,0/0
Wild,Flyers,home,F,Marco Rossi C,18:00,0,0,-2,0,1,2,1,1,2/6
Wild,Flyers,home,F,Yakov Trenin C,12:10,0,0,2,0,0,0,0,0,0/0
Wild,Flyers,home,F,Mats Zuccarello R,19:41,0,0,0,1,0,2,1,1,0/2
Wild,Flyers,home,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Flyers,home,F,Zach Bogosian D,17:50,0,1,-3,0,2,0,0,0,0/0
Wild,Flyers,home,F,Jonas Brodin D,20:45,0,1,-3,2,1,0,0,2,0/0
Wild,Flyers,home,F,Declan Chisholm D,14:15,0,1,0,0,0,0,0,2,0/0
Wild,Flyers,home,F,Brock Faber D,26:48,1,0,1,2,0,0,1,1,0/0
Wild,Flyers,home,F,Jon Merrill D,12:50,0,0,0,0,1,0,0,0,0/0
Wild,Flyers,home,F,Jake Middleton D,19:37,1,0,2,2,0,0,0,2,0/0
Wild,Flyers,home,F,Matt Boldy L,22:58,0,1,-3,9,3,2,1,1,1/1
Wild,Flyers,home,F,Joel Eriksson Ek C,21:09,1,1,-1,3,0,0,1,0,12/22
Wild,Flyers,home,F,Marcus Foligno L,12:34,2,0,2,3,3,0,0,1,0/0
Wild,Flyers,home,F,Frederick Gaudreau C,14:59,0,0,2,1,0,0,0,0,9/16
Wild,Flyers,home,F,Marcus Johansson L,17:26,0,0,-2,0,0,0,0,1,0/0
Wild,Flyers,home,F,Kirill Kaprizov L,24:36,0,2,0,3,0,0,0,0,0/0
Wild,Flyers,home,F,Marat Khusnutdinov C,08:25,0,0,-2,0,2,0,0,1,3/7
Wild,Flyers,home,F,Jakub Lauko C,07:46,0,0,-2,0,1,0,0,1,0/1
Wild,Flyers,home,F,Liam Ohgren L,06:46,0,0,-1,0,0,0,0,1,0/0
Wild,Flyers,home,F,Marco Rossi C,18:00,0,0,-2,0,1,2,1,1,2/6
Wild,Flyers,home,F,Yakov Trenin C,12:10,0,0,2,0,0,0,0,0,0/0
Wild,Flyers,home,F,Mats Zuccarello R,19:41,0,0,0,1,0,2,1,1,0/2
Wild,Flyers,home,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Flyers,home,F,Zach Bogosian D,17:50,0,1,-3,0,2,0,0,0,0/0
Wild,Flyers,home,F,Jonas Brodin D,20:45,0,1,-3,2,1,0,0,2,0/0
Wild,Flyers,home,F,Declan Chisholm D,14:15,0,1,0,0,0,0,0,2,0/0
Wild,Flyers,home,F,Brock Faber D,26:48,1,0,1,2,0,0,1,1,0/0
Wild,Flyers,home,F,Jon Merrill D,12:50,0,0,0,0,1,0,0,0,0/0
Wild,Flyers,home,F,Jake Middleton D,19:37,1,0,2,2,0,0,0,2,0/0
