team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Wild,Ducks,home,D,Zach Bogosian D,17:29,0,0,1,0,1,6,2,1,0/0
Wild,Ducks,home,D,Jonas Brodin D,23:03,0,0,0,1,2,0,0,1,0/0
Wild,Ducks,home,D,Declan Chisholm D,13:13,0,1,-1,0,0,0,0,0,0/0
Wild,Ducks,home,D,Brock Faber D,22:40,0,2,2,1,4,0,0,1,0/0
Wild,Ducks,home,D,Jake Middleton D,19:42,1,0,3,2,1,0,1,2,0/0
Wild,Ducks,home,D,Jared Spurgeon D,20:30,0,0,-1,2,1,0,0,3,0/0
Wild,Ducks,home,D,Zach Bogosian D,17:29,0,0,1,0,1,6,2,1,0/0
Wild,Ducks,home,D,Jonas Brodin D,23:03,0,0,0,1,2,0,0,1,0/0
Wild,Ducks,home,D,Declan Chisholm D,13:13,0,1,-1,0,0,0,0,0,0/0
Wild,Ducks,home,D,Brock Faber D,22:40,0,2,2,1,4,0,0,1,0/0
Wild,Ducks,home,D,Jake Middleton D,19:42,1,0,3,2,1,0,1,2,0/0
Wild,Ducks,home,D,Jared Spurgeon D,20:30,0,0,-1,2,1,0,0,3,0/0
Wild,Ducks,home,F,Matt Boldy L,15:53,0,0,2,1,0,2,1,0,2/2
Wild,Ducks,home,F,Joel Eriksson Ek C,17:31,0,1,1,4,1,0,0,0,9/18
Wild,Ducks,home,F,Marcus Foligno L,12:29,1,0,1,2,2,0,0,0,0/0
Wild,Ducks,home,F,Frederick Gaudreau C,14:53,0,1,1,0,0,0,0,2,6/8
Wild,Ducks,home,F,Ryan Hartman R,13:31,0,0,-1,3,0,2,0,3,1/1
Wild,Ducks,home,F,Marcus Johansson L,14:24,0,0,1,2,3,0,1,2,0/0
Wild,Ducks,home,F,Kirill Kaprizov L,16:28,2,1,1,5,0,2,0,0,0/0
Wild,Ducks,home,F,Marat Khusnutdinov C,12:05,0,0,0,0,4,0,0,0,6/9
Wild,Ducks,home,F,Jakub Lauko C,10:08,0,0,-1,0,0,2,0,0,0/0
Wild,Ducks,home,F,Marco Rossi C,15:01,1,1,0,6,0,0,0,0,4/7
Wild,Ducks,home,F,Yakov Trenin C,13:58,0,0,0,2,0,2,0,1,0/2
Wild,Ducks,home,F,Mats Zuccarello R,15:16,0,1,2,0,2,0,0,3,0/1
Wild,Ducks,home,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Ducks,home,F,Zach Bogosian D,17:29,0,0,1,0,1,6,2,1,0/0
Wild,Ducks,home,F,Jonas Brodin D,23:03,0,0,0,1,2,0,0,1,0/0
Wild,Ducks,home,F,Declan Chisholm D,13:13,0,1,-1,0,0,0,0,0,0/0
Wild,Ducks,home,F,Brock Faber D,22:40,0,2,2,1,4,0,0,1,0/0
Wild,Ducks,home,F,Jake Middleton D,19:42,1,0,3,2,1,0,1,2,0/0
Wild,Ducks,home,F,Jared Spurgeon D,20:30,0,0,-1,2,1,0,0,3,0/0
Wild,Ducks,home,F,Matt Boldy L,15:53,0,0,2,1,0,2,1,0,2/2
Wild,Ducks,home,F,Joel Eriksson Ek C,17:31,0,1,1,4,1,0,0,0,9/18
Wild,Ducks,home,F,Marcus Foligno L,12:29,1,0,1,2,2,0,0,0,0/0
Wild,Ducks,home,F,Frederick Gaudreau C,14:53,0,1,1,0,0,0,0,2,6/8
Wild,Ducks,home,F,Ryan Hartman R,13:31,0,0,-1,3,0,2,0,3,1/1
Wild,Ducks,home,F,Marcus Johansson L,14:24,0,0,1,2,3,0,1,2,0/0
Wild,Ducks,home,F,Kirill Kaprizov L,16:28,2,1,1,5,0,2,0,0,0/0
Wild,Ducks,home,F,Marat Khusnutdinov C,12:05,0,0,0,0,4,0,0,0,6/9
Wild,Ducks,home,F,Jakub Lauko C,10:08,0,0,-1,0,0,2,0,0,0/0
Wild,Ducks,home,F,Marco Rossi C,15:01,1,1,0,6,0,0,0,0,4/7
Wild,Ducks,home,F,Yakov Trenin C,13:58,0,0,0,2,0,2,0,1,0/2
Wild,Ducks,home,F,Mats Zuccarello R,15:16,0,1,2,0,2,0,0,3,0/1
Wild,Ducks,home,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Ducks,home,F,Zach Bogosian D,17:29,0,0,1,0,1,6,2,1,0/0
Wild,Ducks,home,F,Jonas Brodin D,23:03,0,0,0,1,2,0,0,1,0/0
Wild,Ducks,home,F,Declan Chisholm D,13:13,0,1,-1,0,0,0,0,0,0/0
Wild,Ducks,home,F,Brock Faber D,22:40,0,2,2,1,4,0,0,1,0/0
Wild,Ducks,home,F,Jake Middleton D,19:42,1,0,3,2,1,0,1,2,0/0
Wild,Ducks,home,F,Jared Spurgeon D,20:30,0,0,-1,2,1,0,0,3,0/0
