team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Wild,Stars,away,D,Zach Bogosian D,14:44,0,0,0,2,0,5,0,1,0/0
Wild,Stars,away,D,Declan Chisholm D,20:31,0,0,0,0,0,0,0,1,0/0
Wild,Stars,away,D,Brock Faber D,26:06,0,0,-2,4,0,0,0,0,0/0
Wild,Stars,away,D,Jon Merrill D,16:00,0,0,0,1,0,0,0,2,0/0
Wild,Stars,away,D,Jake Middleton D,19:01,0,0,-1,1,3,5,1,0,0/0
Wild,Stars,away,D,Jared Spurgeon D,19:36,0,1,1,3,5,0,1,0,0/0
Wild,Stars,away,D,Zach Bogosian D,14:44,0,0,0,2,0,5,0,1,0/0
Wild,Stars,away,D,Declan Chisholm D,20:31,0,0,0,0,0,0,0,1,0/0
Wild,Stars,away,D,Brock Faber D,26:06,0,0,-2,4,0,0,0,0,0/0
Wild,Stars,away,D,Jon Merrill D,16:00,0,0,0,1,0,0,0,2,0/0
Wild,Stars,away,D,Jake Middleton D,19:01,0,0,-1,1,3,5,1,0,0/0
Wild,Stars,away,D,Jared Spurgeon D,19:36,0,1,1,3,5,0,1,0,0/0
Wild,Stars,away,F,Matt Boldy L,21:49,0,1,-1,1,0,0,0,5,6/13
Wild,Stars,away,F,Marcus Foligno L,16:40,0,0,0,1,1,0,0,0,0/0
Wild,Stars,away,F,Frederick Gaudreau C,14:14,0,0,-1,1,1,2,0,0,6/14
Wild,Stars,away,F,Ryan Hartman R,18:28,0,0,0,2,1,0,1,2,4/9
Wild,Stars,away,F,Marcus Johansson L,21:02,0,0,-1,1,0,0,2,1,0/0
Wild,Stars,away,F,Kirill Kaprizov L,23:54,1,0,-1,4,1,0,0,1,0/0
Wild,Stars,away,F,Marat Khusnutdinov C,10:30,0,0,0,0,1,0,0,0,5/6
Wild,Stars,away,F,Jakub Lauko C,08:14,0,0,0,0,1,0,0,1,0/0
Wild,Stars,away,F,Michael Milne L,06:34,0,0,0,0,0,0,0,0,0/0
Wild,Stars,away,F,Liam Ohgren L,12:10,0,0,0,2,0,0,0,2,0/0
Wild,Stars,away,F,Marco Rossi C,15:26,0,0,1,0,0,0,0,1,3/12
Wild,Stars,away,F,Yakov Trenin C,15:18,0,0,0,0,2,0,0,2,0/2
Wild,Stars,away,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Stars,away,F,Zach Bogosian D,14:44,0,0,0,2,0,5,0,1,0/0
Wild,Stars,away,F,Declan Chisholm D,20:31,0,0,0,0,0,0,0,1,0/0
Wild,Stars,away,F,Brock Faber D,26:06,0,0,-2,4,0,0,0,0,0/0
Wild,Stars,away,F,Jon Merrill D,16:00,0,0,0,1,0,0,0,2,0/0
Wild,Stars,away,F,Jake Middleton D,19:01,0,0,-1,1,3,5,1,0,0/0
Wild,Stars,away,F,Jared Spurgeon D,19:36,0,1,1,3,5,0,1,0,0/0
Wild,Stars,away,F,Matt Boldy L,21:49,0,1,-1,1,0,0,0,5,6/13
Wild,Stars,away,F,Marcus Foligno L,16:40,0,0,0,1,1,0,0,0,0/0
Wild,Stars,away,F,Frederick Gaudreau C,14:14,0,0,-1,1,1,2,0,0,6/14
Wild,Stars,away,F,Ryan Hartman R,18:28,0,0,0,2,1,0,1,2,4/9
Wild,Stars,away,F,Marcus Johansson L,21:02,0,0,-1,1,0,0,2,1,0/0
Wild,Stars,away,F,Kirill Kaprizov L,23:54,1,0,-1,4,1,0,0,1,0/0
Wild,Stars,away,F,Marat Khusnutdinov C,10:30,0,0,0,0,1,0,0,0,5/6
Wild,Stars,away,F,Jakub Lauko C,08:14,0,0,0,0,1,0,0,1,0/0
Wild,Stars,away,F,Michael Milne L,06:34,0,0,0,0,0,0,0,0,0/0
Wild,Stars,away,F,Liam Ohgren L,12:10,0,0,0,2,0,0,0,2,0/0
Wild,Stars,away,F,Marco Rossi C,15:26,0,0,1,0,0,0,0,1,3/12
Wild,Stars,away,F,Yakov Trenin C,15:18,0,0,0,0,2,0,0,2,0/2
Wild,Stars,away,F,Wild Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOZach
Wild,Stars,away,F,Zach Bogosian D,14:44,0,0,0,2,0,5,0,1,0/0
Wild,Stars,away,F,Declan Chisholm D,20:31,0,0,0,0,0,0,0,1,0/0
Wild,Stars,away,F,Brock Faber D,26:06,0,0,-2,4,0,0,0,0,0/0
Wild,Stars,away,F,Jon Merrill D,16:00,0,0,0,1,0,0,0,2,0/0
Wild,Stars,away,F,Jake Middleton D,19:01,0,0,-1,1,3,5,1,0,0/0
Wild,Stars,away,F,Jared Spurgeon D,19:36,0,1,1,3,5,0,1,0,0/0
