"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"1","SJS","away","0","3","1","0","4","2","2","0","0","4"
"1","NYI","away","1","2","1","0","4","1","0","3","0","4"
"1","VAN","away","0","1","1","0","2","1","1","0","0","2"
"1","NYR","away","4","0","1","0","5","1","3","1","0","5"
"1","WPG","away","0","0","0","0","0","1","0","0","0","1"
"1","FLA","away","1","0","1","0","2","1","1","0","0","2"
"1","SEA","away","0","0","0","0","0","0","1","0","0","1"
"1","NYI","away","1","1","0","0","2","2","0","1","0","3"
"1","FLA","away","1","1","0","0","2","0","2","1","0","3"
"1","PIT","away","0","0","0","0","0","0","0","1","0","1"
"1","VGK","away","1","1","0","0","2","0","2","1","0","3"
"1","MIN","away","0","0","0","0","0","1","0","0","0","1"
"1","BOS","away","0","2","0","0","2","1","2","0","0","3"
"1","BOS","away","1","0","1","0","2","0","2","0","0","2"
"1","FLA","away","1","1","0","0","2","0","3","0","0","3"
"1","COL","away","0","1","0","0","1","0","2","0","0","2"
"1","WSH","away","0","2","1","0","3","2","1","0","0","3"
"1","EDM","away","0","1","0","0","1","0","2","0","0","2"
"1","OTT","away","1","2","1","0","4","1","1","2","0","4"
"1","BUF","away","2","0","0","0","2","2","0","1","0","3"
"1","TOR","away","1","1","0","0","2","1","0","2","0","3"
"1","BOS","away","0","1","1","0","2","2","0","0","0","2"
