"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"CAR","TBL","home","1","0","0","0","1","0","1","3","0","4"
"CAR","NJD","home","0","2","2","0","4","0","1","1","0","2"
"CAR","PIT","away","1","2","1","0","4","1","0","0","0","1"
"CAR","STL","away","1","0","2","0","3","0","3","1","0","4"
"CAR","CGY","away","1","2","1","0","4","0","1","1","0","2"
"CAR","SEA","away","1","1","2","0","4","0","0","1","0","1"
"CAR","BOS","home","4","2","2","0","8","1","1","0","0","2"
"CAR","WSH","home","1","2","1","0","4","2","0","0","0","2"
"CAR","PHI","home","1","2","3","0","6","1","1","2","0","4"
"CAR","PIT","home","2","2","1","0","5","0","0","1","0","1"
"CAR","COL","away","1","2","1","0","4","0","5","1","0","6"
"CAR","VGK","away","2","2","1","0","5","0","0","2","0","2"
"CAR","UTA","away","0","1","0","0","1","1","0","3","0","4"
"CAR","OTT","home","1","1","2","0","4","0","0","0","0","0"
