"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"DAL","NSH","away","0","4","0","0","4","0","1","2","0","3"
"DAL","NYI","home","1","1","1","0","3","0","0","0","0","0"
"DAL","SEA","home","2","0","0","0","2","0","0","0","0","0"
"DAL","0","home","0","2","0","0","2","2","0","0","0","2"
"DAL","WSH","away","1","1","0","0","2","0","3","0","0","3"
"DAL","EDM","home","0","1","3","0","4","0","0","1","0","1"
"DAL","BUF","away","0","0","2","0","2","0","2","2","0","4"
"DAL","BOS","away","1","3","1","0","5","1","1","0","0","2"
"DAL","CHI","home","1","1","2","0","4","0","0","2","0","2"
"DAL","FLA","home","1","1","2","0","4","3","1","2","0","6"
"DAL","FLA","away","0","2","0","0","2","1","1","2","0","4"
"DAL","CHI","home","1","1","1","0","3","0","0","1","0","1"
"DAL","WPG","away","0","0","1","0","1","2","2","0","0","4"
"DAL","PIT","away","6","0","1","0","7","0","1","0","0","1"
"DAL","BOS","home","2","3","2","0","7","1","0","1","0","2"
"DAL","MIN","away","1","0","1","0","2","0","0","1","0","1"
