"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"DET","PIT","home","1","1","1","0","3","1","3","2","0","6"
"DET","NSH","home","0","1","2","0","3","0","0","0","0","0"
"DET","NYR","away","1","0","0","0","1","1","1","2","0","4"
"DET","NYR","home","0","1","1","0","2","2","3","0","0","5"
"DET","NSH","away","1","1","3","0","5","1","0","1","0","2"
"DET","NYI","away","1","0","0","0","1","0","0","0","0","0"
"DET","NJD","home","2","0","3","0","5","1","1","1","0","3"
"DET","BUF","away","1","2","0","0","3","2","2","1","0","5"
"DET","0","home","1","1","0","0","2","1","1","1","0","3"
"DET","WPG","home","0","2","0","0","2","3","0","3","0","6"
"DET","BUF","home","0","2","0","0","2","1","0","0","0","1"
"DET","CHI","away","1","1","2","0","4","0","1","0","0","1"
"DET","TOR","away","0","1","0","0","1","1","1","1","0","3"
"DET","NYR","home","0","0","0","0","0","1","2","1","0","4"
"DET","ANA","away","2","1","1","0","4","1","1","4","0","6"
"DET","LAK","away","0","0","1","0","1","2","0","2","0","4"
