"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"FLA","OTT","away","0","1","0","0","1","2","0","1","0","3"
"FLA","BUF","away","1","1","0","0","2","2","2","1","0","5"
"FLA","BOS","away","2","2","0","0","4","1","2","0","0","3"
"FLA","CBJ","away","0","3","1","0","4","0","2","1","0","3"
"FLA","1","home","1","1","0","0","2","1","0","1","0","2"
"FLA","1","home","0","2","1","0","3","1","1","0","0","2"
"FLA","MIN","home","0","1","0","0","1","2","3","0","0","5"
"FLA","NYR","away","2","1","0","0","3","1","0","0","0","1"
"FLA","NYI","away","1","2","3","0","6","3","0","0","0","3"
"FLA","BUF","away","2","1","2","0","5","0","2","0","0","2"
"FLA","DAL","away","3","1","2","0","6","1","1","2","0","4"
"FLA","DAL","home","1","1","2","0","4","0","2","0","0","2"
"FLA","NSH","home","2","3","1","0","6","0","1","1","0","2"
"FLA","1","home","0","3","0","0","3","1","1","0","0","2"
"FLA","NJD","home","0","1","0","0","1","1","1","2","0","4"
"FLA","NJD","home","1","1","0","0","2","2","2","2","0","6"
"FLA","WPG","home","1","3","1","0","5","0","0","0","0","0"
