"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"LAK","BUF","away","0","0","3","0","3","0","1","0","0","1"
"LAK","TOR","away","0","0","2","0","2","3","2","1","0","6"
"LAK","MTL","away","1","1","2","0","4","1","0","0","0","1"
"LAK","ANA","away","0","0","4","0","4","0","0","1","0","1"
"LAK","VGK","away","0","1","0","0","1","3","0","3","0","6"
"LAK","SJS","home","3","0","0","0","3","0","1","1","0","2"
"LAK","UTA","home","0","2","1","0","3","0","1","1","0","2"
"LAK","SJS","away","0","1","1","0","2","0","1","3","0","4"
"LAK","VGK","home","2","2","2","0","6","0","1","2","0","3"
"LAK","0","home","1","1","1","0","3","0","3","1","0","4"
"LAK","NSH","away","1","0","2","0","3","0","0","0","0","0"
"LAK","MIN","away","0","2","3","0","5","0","1","0","0","1"
"LAK","VAN","home","1","0","1","0","2","1","1","2","0","4"
"LAK","CBJ","home","0","2","3","0","5","1","0","1","0","2"
"LAK","CGY","away","0","0","1","0","1","0","2","1","0","3"
"LAK","COL","away","2","0","0","0","2","1","1","2","0","4"
"LAK","DET","home","2","0","2","0","4","0","0","1","0","1"
