"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"NSH","DAL","home","0","1","2","0","3","0","4","0","0","4"
"NSH","DET","away","0","0","0","0","0","0","1","2","0","3"
"NSH","SEA","home","2","1","0","0","3","3","0","4","0","7"
"NSH","EDM","home","1","1","0","0","2","1","2","1","0","4"
"NSH","DET","home","1","0","1","0","2","1","1","3","0","5"
"NSH","BOS","home","1","1","2","0","4","0","0","0","0","0"
"NSH","CHI","away","0","2","1","0","3","1","1","0","0","2"
"NSH","0","home","0","1","2","0","3","2","1","0","0","3"
"NSH","EDM","home","1","0","0","0","1","2","1","2","0","5"
"NSH","COL","home","0","2","3","0","5","0","1","1","0","2"
"NSH","LAK","home","0","0","0","0","0","1","0","2","0","3"
"NSH","WSH","away","1","1","0","0","2","1","1","1","0","3"
"NSH","FLA","away","0","1","1","0","2","2","3","1","0","6"
"NSH","UTA","home","2","1","1","0","4","0","0","0","0","0"
"NSH","CGY","away","0","0","0","0","0","0","0","2","0","2"
