"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"NYI","1","home","1","0","3","0","4","1","2","1","0","4"
"NYI","DAL","away","0","0","0","0","0","1","1","1","0","3"
"NYI","COL","away","2","2","2","0","6","1","0","1","0","2"
"NYI","1","home","2","0","1","0","3","1","1","0","0","2"
"NYI","DET","home","0","0","0","0","0","1","0","0","0","1"
"NYI","FLA","home","3","0","0","0","3","1","2","3","0","6"
"NYI","ANA","home","0","0","1","0","1","1","1","1","0","3"
"NYI","CBJ","away","0","0","0","0","0","0","0","2","0","2"
"NYI","BUF","away","1","2","1","0","4","1","0","2","0","3"
"NYI","NYR","away","0","2","0","0","2","1","2","2","0","5"
"NYI","0","home","0","1","2","0","3","2","1","0","0","3"
"NYI","OTT","away","0","2","2","0","4","0","0","2","0","2"
"NYI","0","home","1","0","2","0","3","1","2","1","0","4"
"NYI","VAN","away","1","2","2","0","5","1","0","1","0","2"
"NYI","SEA","away","1","0","1","0","2","1","0","2","0","3"
