"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"OTT","FLA","home","2","0","1","0","3","0","1","0","0","1"
"OTT","MTL","away","0","0","1","0","1","2","0","2","0","4"
"OTT","2","home","1","4","2","0","7","3","2","0","0","5"
"OTT","NJD","home","0","0","1","0","1","0","2","1","0","3"
"OTT","TBL","home","2","2","1","0","5","0","3","1","0","4"
"OTT","UTA","away","4","0","0","0","4","0","0","0","0","0"
"OTT","VGK","away","3","1","0","0","4","2","1","3","0","6"
"OTT","COL","away","0","0","4","0","4","1","1","3","0","5"
"OTT","STL","home","3","3","2","0","8","0","0","1","0","1"
"OTT","NYR","away","0","0","1","0","1","1","0","1","0","2"
"OTT","SEA","home","1","1","1","0","3","0","0","0","0","0"
"OTT","BUF","away","0","1","0","0","1","1","1","3","0","5"
"OTT","NYI","home","0","0","2","0","2","0","2","2","0","4"
"OTT","TOR","away","1","2","0","0","3","0","0","0","0","0"
"OTT","1","home","1","1","2","0","4","1","2","1","0","4"
"OTT","CAR","away","0","0","0","0","0","1","1","2","0","4"
