"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"TOR","NJD","away","3","1","0","0","4","1","1","0","0","2"
"TOR","PIT","home","0","2","2","0","4","1","0","1","0","2"
"TOR","LAK","home","3","2","1","0","6","0","0","2","0","2"
"TOR","NYR","home","0","0","1","0","1","1","1","2","0","4"
"TOR","TBL","home","1","4","0","0","5","1","0","1","0","2"
"TOR","CBJ","away","0","1","1","0","2","3","2","1","0","6"
"TOR","STL","home","0","1","0","0","1","2","1","2","0","5"
"TOR","WPG","away","2","3","1","0","6","0","2","2","0","4"
"TOR","SEA","home","1","2","1","0","4","0","0","1","0","1"
"TOR","STL","away","1","0","1","0","2","0","3","1","0","4"
"TOR","BOS","home","0","2","2","0","4","0","0","0","0","0"
"TOR","DET","home","1","1","1","0","3","0","1","0","0","1"
"TOR","MTL","home","1","3","0","0","4","0","1","0","0","1"
"TOR","OTT","home","0","0","0","0","0","1","2","0","0","3"
"TOR","1","home","1","0","2","0","3","1","1","0","0","2"
