"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"UTA","NJD","away","0","0","0","0","0","0","2","1","0","3"
"UTA","0","home","0","0","1","0","1","1","0","0","0","1"
"UTA","OTT","home","0","0","0","0","0","4","0","0","0","4"
"UTA","COL","home","0","0","1","0","1","2","2","1","0","5"
"UTA","LAK","away","0","1","1","0","2","0","2","1","0","3"
"UTA","0","home","2","2","0","0","4","1","3","1","0","5"
"UTA","CGY","home","2","2","1","0","5","0","1","0","0","1"
"UTA","WPG","away","0","0","0","0","0","0","1","2","0","3"
"UTA","STL","away","1","1","2","0","4","1","0","1","0","2"
"UTA","NSH","away","0","0","0","0","0","2","1","1","0","4"
"UTA","CAR","home","1","0","3","0","4","0","1","0","0","1"
"UTA","VGK","home","1","1","0","0","2","0","1","3","0","4"
