"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"VAN","1","home","1","1","0","0","2","0","1","1","0","2"
"VAN","TBL","away","0","0","1","0","1","1","1","2","0","4"
"VAN","PHI","away","1","2","0","0","3","0","0","0","0","0"
"VAN","CHI","away","4","0","2","0","6","2","0","1","0","3"
"VAN","PIT","home","0","4","0","0","4","1","1","1","0","3"
"VAN","2","home","1","0","2","0","3","1","0","1","0","2"
"VAN","NJD","home","0","0","0","0","0","1","3","2","0","6"
"VAN","SJS","away","0","1","2","0","3","0","1","1","0","2"
"VAN","ANA","away","2","1","2","0","5","1","0","0","0","1"
"VAN","LAK","away","1","1","2","0","4","1","0","1","0","2"
"VAN","EDM","home","0","2","1","0","3","1","2","4","0","7"
"VAN","CGY","home","0","2","1","0","3","1","0","0","0","1"
"VAN","NYI","home","1","0","1","0","2","1","2","2","0","5"
"VAN","CHI","home","0","1","3","0","4","1","0","0","0","1"
