"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"WPG","0","home","0","0","1","0","1","1","0","0","0","1"
"WPG","1","home","1","0","0","0","1","0","0","0","0","0"
"WPG","SJS","home","4","1","3","0","8","1","1","1","0","3"
"WPG","PIT","home","0","3","3","0","6","0","2","1","0","3"
"WPG","STL","away","0","3","0","0","3","1","0","1","0","2"
"WPG","CGY","away","2","0","3","0","5","1","1","1","0","3"
"WPG","TOR","home","0","2","2","0","4","2","3","1","0","6"
"WPG","DET","away","3","0","3","0","6","0","2","0","0","2"
"WPG","CBJ","away","2","2","2","0","6","1","1","0","0","2"
"WPG","TBL","home","1","2","4","0","7","2","1","1","0","4"
"WPG","UTA","home","0","1","2","0","3","0","0","0","0","0"
"WPG","COL","home","1","0","0","0","1","0","0","0","0","0"
"WPG","DAL","home","2","2","0","0","4","0","0","1","0","1"
"WPG","NYR","away","1","2","3","0","6","1","1","1","0","3"
"WPG","TBL","away","0","1","0","0","1","1","2","1","0","4"
"WPG","FLA","away","0","0","0","0","0","1","3","1","0","5"
