"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","home","hou","nyy","3","0","0","0","3","1","2"
"2024-03-29","home","hou","nyy","1","1","0","0","1","1","0"
"2024-03-30","home","hou","nyy","0","0","0","0","0","1","0"
"2024-03-31","home","hou","nyy","0","0","0","0","0","1","0"
"2024-04-01","home","hou","tor","1","0","0","2","1","3","0"
"2024-04-02","home","hou","tor","0","0","0","0","0","0","0"
"2024-04-03","home","hou","tor","3","0","0","0","0","0","0"
"2024-04-05","away","tex","hou","1","0","0","0","0","0","0"
"2024-04-06","away","tex","hou","2","0","0","0","0","1","0"
"2024-04-13","home","hou","tex","1","0","0","0","0","0","2"
"2024-04-12","home","hou","tex","0","0","0","1","0","0","0"
"2024-04-11","away","kc","hou","0","1","0","0","0","1","1"
"2024-04-10","away","kc","hou","0","0","0","0","0","1","1"
"2024-04-09","away","kc","hou","3","0","0","0","1","1","0"
"2024-04-08","away","tex","hou","2","0","0","0","2","1","2"
"2024-04-07","away","tex","hou","0","0","0","0","0","0","1"
"2024-04-17","home","hou","atl","1","0","0","1","0","0","1"
"2024-04-19","away","wsh","hou","0","0","0","0","0","2","0"
"2024-04-16","home","hou","atl","0","0","0","0","0","1","1"
"2024-04-21","away","wsh","hou","0","0","0","0","0","2","0"
"2024-04-20","away","wsh","hou","2","0","0","0","1","0","0"
"2024-04-15","home","hou","atl","2","0","0","0","1","0","2"
