"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-30","home","kc","min","0","0","0","0","0","2","0"
"2024-03-31","home","kc","min","3","0","0","1","2","0","1"
"2024-04-01","away","bal","kc","0","0","0","0","0","0","0"
"2024-04-02","away","bal","kc","2","0","0","0","0","1","0"
"2024-04-03","away","bal","kc","1","2","0","0","1","2","0"
"2024-04-04","home","kc","cws","0","0","0","0","0","1","0"
"2024-04-05","home","kc","cws","1","1","0","0","1","2","0"
"2024-04-06","home","kc","cws","2","0","0","0","0","0","0"
"2024-03-28","home","kc","min","0","0","0","1","0","2","0"
"2024-04-07","home","kc","cws","0","0","0","0","0","0","0"
"2024-04-13","away","nym","kc","3","0","0","0","1","1","0"
"2024-04-12","away","nym","kc","0","0","0","0","0","0","0"
"2024-04-11","home","kc","hou","9","1","0","1","8","1","1"
"2024-04-10","home","kc","hou","0","0","0","0","0","2","1"
"2024-04-09","home","kc","hou","0","0","0","0","0","1","0"
"2024-04-17","away","cws","kc","0","0","0","0","0","0","2"
"2024-04-17","away","cws","kc","0","0","0","0","0","0","0"
"2024-04-19","home","kc","bal","0","0","0","0","0","1","0"
"2024-04-20","home","kc","bal","1","0","0","0","0","0","0"
"2024-04-15","away","cws","kc","0","0","0","0","0","1","0"
"2024-04-21","home","kc","bal","0","1","0","0","0","1","1"
"2024-04-14","away","nym","kc","0","0","0","0","0","3","0"
