"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","home","lad","stl","2","1","0","0","2","1","1"
"2024-03-29","home","lad","stl","0","0","0","1","0","0","0"
"2024-03-30","home","lad","stl","3","0","0","0","0","3","0"
"2024-03-31","home","lad","stl","0","0","0","0","0","1","0"
"2024-04-01","home","lad","sf","1","0","1","0","1","2","0"
"2024-04-02","home","lad","sf","2","0","0","0","1","3","0"
"2024-04-03","home","lad","sf","1","0","0","0","0","1","0"
"2024-04-05","away","chc","lad","2","1","0","0","2","3","1"
"2024-04-06","away","chc","lad","1","0","0","0","0","2","1"
"2024-04-07","away","chc","lad","1","0","0","0","0","1","0"
"2024-04-13","home","lad","sd","0","0","0","0","0","2","1"
"2024-04-12","home","lad","sd","0","0","0","1","0","1","0"
"2024-04-10","away","min","lad","1","1","0","0","1","0","1"
"2024-04-09","away","min","lad","0","0","0","0","0","1","1"
"2024-04-08","away","min","lad","0","1","0","0","1","1","1"
"2024-04-17","home","lad","wsh","1","0","0","0","0","1","1"
"2024-04-19","home","lad","nym","0","0","0","0","0","0","0"
"2024-04-15","home","lad","wsh","2","0","0","0","1","2","0"
"2024-04-20","home","lad","nym","1","1","0","0","1","3","2"
"2024-04-16","home","lad","wsh","2","0","0","0","1","1","1"
"2024-04-21","home","lad","nym","0","1","0","0","0","1","0"
