"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","home","mia","pit","1","0","0","0","0","1","0"
"2024-03-29","home","mia","pit","0","0","0","0","0","0","0"
"2024-03-30","home","mia","pit","0","0","0","0","0","2","0"
"2024-03-31","home","mia","pit","2","0","0","0","4","2","2"
"2024-04-01","home","mia","laa","2","1","0","0","4","3","1"
"2024-04-02","home","mia","laa","0","0","0","0","0","1","0"
"2024-04-03","home","mia","laa","0","0","0","0","0","3","0"
"2024-04-04","away","stl","mia","0","0","0","0","0","1","1"
"2024-04-06","away","stl","mia","0","0","0","0","0","0","0"
"2024-04-07","away","stl","mia","3","0","0","2","4","1","1"
"2024-04-13","home","mia","atl","0","0","0","1","0","1","1"
"2024-04-12","home","mia","atl","1","0","0","0","0","1","1"
"2024-04-10","away","nyy","mia","0","0","0","0","0","1","1"
"2024-04-09","away","nyy","mia","0","0","0","0","0","2","1"
"2024-04-08","away","nyy","mia","0","0","0","0","0","0","0"
"2024-04-17","home","mia","sf","1","0","0","0","0","1","0"
"2024-04-19","away","chc","mia","0","0","0","0","0","2","0"
"2024-04-15","home","mia","sf","2","0","0","0","0","0","0"
"2024-04-16","home","mia","sf","1","0","0","0","0","0","0"
"2024-04-20","away","chc","mia","0","0","0","0","0","1","0"
"2024-04-20","away","chc","mia","0","1","0","0","0","0","1"
"2024-04-21","away","chc","mia","0","0","0","0","0","1","0"
"2024-04-14","home","mia","atl","0","0","0","0","0","0","0"
