"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-29","home","nym","mil","0","0","0","0","0","1","0"
"2024-03-30","home","nym","mil","1","0","0","0","0","0","1"
"2024-03-31","home","nym","mil","1","0","0","0","0","0","0"
"2024-04-01","home","nym","det","0","0","0","0","0","0","1"
"2024-04-05","away","cin","nym","1","0","0","0","0","2","0"
"2024-04-06","away","cin","nym","0","0","0","0","0","1","0"
"2024-04-07","away","cin","nym","1","1","0","0","1","0","0"
"2024-04-13","home","nym","kc","2","1","0","0","3","1","1"
"2024-04-12","home","nym","kc","0","0","0","0","0","0","0"
"2024-04-11","away","atl","nym","2","0","0","0","1","1","1"
"2024-04-09","away","atl","nym","0","0","0","0","0","2","0"
"2024-04-08","away","atl","nym","1","0","0","0","0","1","0"
"2024-04-17","home","nym","pit","1","0","0","0","0","1","0"
"2024-04-15","home","nym","pit","0","1","0","0","0","0","0"
"2024-04-19","away","lad","nym","0","0","0","0","0","2","0"
"2024-04-16","home","nym","pit","0","0","0","0","0","2","0"
"2024-04-20","away","lad","nym","0","0","0","0","1","1","3"
"2024-04-21","away","lad","nym","0","0","0","0","0","2","0"
"2024-04-14","home","nym","kc","1","0","0","0","0","2","0"
