"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","away","hou","nyy","0","0","0","0","0","1","1"
"2024-03-29","away","hou","nyy","1","0","0","0","0","2","0"
"2024-03-30","away","hou","nyy","0","0","0","0","0","2","1"
"2024-03-31","away","hou","nyy","1","0","0","0","0","1","0"
"2024-04-01","away","ari","nyy","1","0","0","0","0","1","2"
"2024-04-02","away","ari","nyy","0","0","0","0","0","0","2"
"2024-04-03","away","ari","nyy","0","0","0","0","0","2","0"
"2024-04-05","home","nyy","tor","0","0","0","0","0","1","1"
"2024-04-06","home","nyy","tor","0","0","0","2","1","0","1"
"2024-04-07","home","nyy","tor","0","0","0","0","0","3","0"
"2024-04-13","away","cle","nyy","1","0","0","0","2","0","3"
"2024-04-13","away","cle","nyy","0","1","0","0","0","1","1"
"2024-04-10","home","nyy","mia","0","0","0","0","0","0","1"
"2024-04-09","home","nyy","mia","0","0","0","0","0","0","2"
"2024-04-08","home","nyy","mia","0","0","0","0","0","0","1"
"2024-04-17","away","tor","nyy","1","0","0","0","0","2","2"
"2024-04-19","home","nyy","tb","0","0","0","0","0","1","1"
"2024-04-20","home","nyy","tb","2","0","0","0","0","1","0"
"2024-04-15","away","tor","nyy","0","0","0","0","0","1","0"
"2024-04-21","home","nyy","tb","1","0","0","0","1","3","2"
"2024-04-16","away","tor","nyy","0","0","0","0","0","3","0"
