"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-29","home","sea","bos","0","0","0","0","0","1","0"
"2024-03-30","home","sea","bos","2","0","0","0","1","1","0"
"2024-03-31","home","sea","bos","0","0","0","0","0","3","0"
"2024-04-01","home","sea","cle","0","0","0","0","0","0","0"
"2024-04-02","home","sea","cle","2","0","0","0","0","0","0"
"2024-04-03","home","sea","cle","1","0","0","0","0","2","1"
"2024-04-05","away","mil","sea","0","0","0","0","0","2","1"
"2024-04-06","away","mil","sea","1","0","0","0","0","1","0"
"2024-03-28","home","sea","bos","1","1","0","0","0","0","0"
"2024-04-07","away","mil","sea","2","0","0","0","1","1","0"
"2024-04-13","home","sea","chc","0","0","0","0","0","1","0"
"2024-04-12","home","sea","chc","0","0","0","0","0","1","0"
"2024-04-10","away","tor","sea","0","0","0","0","0","2","0"
"2024-04-09","away","tor","sea","0","0","0","0","0","2","1"
"2024-04-08","away","tor","sea","0","0","0","0","0","1","1"
"2024-04-17","home","sea","cin","0","0","0","0","0","1","0"
"2024-04-16","home","sea","cin","0","0","0","0","0","2","0"
"2024-04-20","away","col","sea","0","0","0","0","0","0","1"
"2024-04-15","home","sea","cin","1","0","0","1","2","0","4"
"2024-04-21","away","col","sea","0","0","0","0","0","2","0"
"2024-04-21","away","col","sea","2","0","0","0","0","0","0"
