ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:SOXL,SOXL,37.05,75163482,37.7,3.01,11.07,-11.07,39.98,73.48,33.16,11.04,22821070.58,-2.79,-4.64,-5.41,-5.83,1.46,0,-11.89,-462614,0.84,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:IMNN,IMNN,1.32,2835591,1.31,90.39,82.39,0.27,1.34,2.32,46.72,59.95,1631.52,0.06,0.09,-0.07,-0.21,0.25,0,-8.33,9636,0.17,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:UPST,UPST,25.98,3870058,26.1,26.92,35.78,-6.31,26.8,31.37,36.35,20.73,375500.23,0.71,0.48,-2.88,-2.7,1.37,0,-7.23,-28301,0.73,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:AMD,AMD,135.94,46658569,136.56,3.74,19.6,-3.11,139.6,194.02,26.55,11.48,39215280.84,-4.66,-7.35,-6.68,-8.59,1.56,0,-6.25,259371,0.8,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NYSE:BA,BA,179.73,6726481,179.79,68.13,66.2,-1.83,182.5,189.9,37.95,49.67,4124921.97,0.76,0.87,-15.31,-13.36,2.51,0,-5.41,23695,1.05,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:NVDA,NVDA,111.71,235981635,112.75,9.38,26.63,-5.37,115.71,136.87,38.85,15.22,249008797.8,-1.24,-2.84,-3.16,-3.91,1.38,0,-4.95,-627470,0.72,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:SBUX,SBUX,74.18,7230420,74.29,27.32,34.79,-1.92,75.18,78.35,37.65,13.69,4600299.33,-0.81,-0.57,-4.98,-5.0,1.58,0,-4.76,-22464,0.45,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:SOFI,SOFI,7.22,21626467,7.26,8.18,12.16,-3.99,7.43,8.07,39.95,10.01,2517536.8,0.17,0.16,-0.49,-0.49,0.86,0,-4.56,236219,0.46,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
AMEX:NVDY,NVDY,25.58,1310944,25.79,11.27,30.09,-4.73,26.5,29.79,41.92,17.36,236317.94,-0.74,-0.91,-0.63,-0.72,1.17,0,-4.32,3839,0.72,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:AFRM,AFRM,27.0,3009775,27.08,44.44,48.78,-5.22,27.73,32.87,29.54,37.53,236932.59,-0.73,-0.93,-2.04,-1.79,1.22,0,-4.21,-46813,0.57,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:META,META,503.1,28137722,504.66,54.16,69.7,-3.31,513.8,543.18,43.84,28.39,44272170.67,-6.92,-6.72,29.69,29.37,3.96,0,-3.44,-84061,1.84,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:IBIT,IBIT,35.78,16263224,35.87,33.65,31.83,-2.77,36.19,40.58,44.85,76.79,2293737.93,0.3,0.38,-2.18,-2.02,1.07,0,-2.77,-208510,0.58,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:CRWD,CRWD,226.16,5379791,226.44,49.31,66.31,-1.21,227.52,436.73,27.63,22.66,4526460.26,-26.02,-36.26,-4.22,-8.29,0.4,0,-2.52,5646,0.25,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NYSE:MA,MA,461.74,1036782,462.36,48.55,58.33,-0.17,463.68,461.06,50.49,21.9,565729.5,-1.05,1.38,0.75,1.0,0.96,0,-0.8,-18593,0.38,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NYSE:PFE,PFE,30.54,18356938,30.52,58.99,66.44,0.41,30.35,31.57,61.56,42.17,2819262.32,0.58,0.68,-0.42,-0.46,1.13,0,-0.6,-137633,0.43,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:PYPL,PYPL,65.46,9057164,65.85,9.42,14.52,-2.67,66.48,64.89,54.54,11.94,3759378.08,-0.15,0.63,-0.78,-0.37,1.24,0,-0.49,13945,0.6,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:TLRY,TLRY,2.04,17779875,2.05,60.44,64.59,-1.95,2.06,2.04,45.81,36.28,27280.47,0.03,0.05,0.02,0.05,1.21,0,1.24,-167311,0.7,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:MHUA,MHUA,0.92,1566694,0.91,86.15,66.7,1.37,0.92,1.05,34.1,68.76,830.25,0.05,0.04,-0.08,-0.11,0.53,0,2.5,-23247,0.26,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
AMEX:YANG,YANG,9.33,3501017,9.29,80.17,73.94,2.15,9.21,9.64,63.45,81.09,463727.68,0.19,0.27,0.33,0.41,1.06,0,3.79,123438,0.62,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
NASDAQ:NVAX,NVAX,12.66,3803948,12.62,71.02,78.99,-0.29,12.46,17.9,41.03,39.67,126663.89,0.36,0.07,0.12,-0.09,0.76,0,4.63,-9035,0.43,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
AMEX:SOXS,SOXS,27.5,42314187,27.15,96.22,87.69,9.78,25.83,29.66,61.26,89.26,8183341.76,0.38,1.05,2.32,2.61,1.19,0,10.33,521783,0.68,delayed_streaming_900,2,trader_live_email,08-01-2024-12-43
