ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:NNE,NNE,10.32,777154,10.35,32.38,38.09,-0.58,10.64,31.53,34.33,19.54,9288.0,-0.06,-1.6,-1.66,-1.54,0.74,0,-8.1,-10374,0.51,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
AMEX:BOIL,BOIL,9.29,12287767,9.35,41.77,43.83,-6.22,9.65,13.52,36.05,63.34,1070457.9,-1.75,-1.69,-0.08,-0.43,1.43,0,-7.56,-80705,0.96,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
NASDAQ:AMD,AMD,135.69,50997489,136.03,27.04,18.93,-1.29,139.25,194.05,26.92,62.19,85187100.96,-4.66,-7.37,-8.44,-8.69,1.57,0,-6.42,-1051153,0.88,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
NASDAQ:AFRM,AFRM,26.72,3384222,26.88,14.52,12.35,-4.09,27.62,32.89,28.83,3.12,3959930.72,-0.73,-0.95,-1.48,-2.2,1.26,0,-5.18,41242,0.64,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
NASDAQ:ASML,ASML,887.77,746581,889.88,16.54,9.88,-1.75,906.42,1146.5,35.77,31.03,2291334.37,-29.9,-37.82,-44.63,-34.71,0.67,0,-3.82,-2359,0.41,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
AMEX:EWJ,EWJ,67.61,4751335,67.77,6.82,7.62,-0.78,68.22,72.42,39.39,9.33,1338678.0,0.24,-0.01,-3.14,-3.15,2.12,0,-1.46,35060,0.93,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
NASDAQ:MSFT,MSFT,418.17,15350695,418.91,45.93,48.09,-1.37,422.38,474.81,35.55,57.56,48740763.75,-3.13,-6.74,-0.2,2.54,1.37,0,-0.62,-149989,0.64,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
AMEX:FXY,FXY,61.64,116361,61.65,62.28,75.44,-0.01,61.5,61.66,68.54,38.1,123273.4,0.41,0.73,0.33,0.23,0.85,0,0.32,812,0.57,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
AMEX:DRIP,DRIP,10.1,1659403,10.09,67.09,67.92,1.96,9.89,10.19,57.51,87.93,127180.67,0.04,0.07,0.61,0.69,1.5,0,6.54,-27282,0.85,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
AMEX:KOLD,KOLD,75.12,795275,74.68,58.72,56.53,7.0,72.03,78.69,60.71,34.02,75070.0,5.33,5.63,0.58,2.96,1.46,0,8.57,-9153,0.96,delayed_streaming_900,2,turttle_email,08-01-2024-13-10
