ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:NVDQ,NVDQ,6.49,10123647,6.44,52.78,35.24,0.15,6.53,8.16,47.13,80.67,504979.92,0.16,0.19,-0.62,-0.67,0.91,0,-5.67,-128649,0.6,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:SCO,SCO,16.32,940537,16.36,3.42,3.69,-1.66,16.52,18.54,38.47,17.07,490272.4,0.38,0.32,-0.78,-0.71,0.71,1,-2.07,-2170,0.45,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:UVIX,UVIX,6.26,20081208,6.1,92.83,96.0,9.83,5.99,13.94,56.87,93.54,1384531.74,0.94,0.8,-0.8,-1.51,1.78,0,-1.96,-594089,0.97,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
NASDAQ:VCNX,VCNX,4.51,24640,4.54,6.35,14.75,-1.96,4.57,8.79,49.71,32.45,11275.0,-0.32,-0.57,-0.09,-0.09,0.17,0,-1.96,2400,0.08,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:YANG,YANG,8.99,2684785,8.99,60.04,48.4,0.25,9.05,10.1,41.26,64.54,295649.71,0.3,0.27,-0.32,-0.36,0.62,0,-1.83,-63022,0.39,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:BOIL,BOIL,10.72,7366509,10.68,82.79,77.41,0.47,10.71,11.74,60.48,64.03,928083.72,-1.43,-1.05,0.21,0.33,0.76,0,-1.39,-80736,0.5,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:UVXY,UVXY,29.62,7663011,29.05,92.46,95.27,7.17,28.81,49.92,57.26,94.17,5107162.41,3.4,3.42,-2.71,-5.02,0.77,0,-1.2,-248132,0.46,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:UNG,UNG,14.48,3782721,14.46,77.99,73.38,0.17,14.48,15.08,60.54,63.63,820610.56,-0.84,-0.6,0.2,0.27,0.97,0,-0.89,-73509,0.56,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:VXX,VXX,54.26,3794292,53.58,91.36,95.37,4.65,53.13,76.17,59.36,94.92,1542314.4,4.45,4.85,-3.04,-5.65,0.43,0,-0.85,-130590,0.27,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
NASDAQ:ERIC,ERIC,6.7,6208048,6.72,25.0,23.15,-0.89,6.74,6.89,45.45,16.5,2500247.56,0.12,0.09,-0.01,0.0,0.43,1,-0.52,-385418,0.25,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:LABD,LABD,6.52,8982410,6.54,22.69,15.19,-0.04,6.59,7.16,53.44,59.74,916843.83,-0.16,-0.03,-0.04,-0.08,0.72,0,-0.34,-335893,0.44,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
NYSE:BBVA,BBVA,9.74,496506,9.76,11.67,13.61,-0.26,9.75,11.55,49.18,14.55,12668.5,-0.12,-0.23,0.0,0.01,0.39,0,-0.05,-15468,0.19,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:QID,QID,42.99,3601734,42.77,75.36,53.04,1.2,42.85,46.95,56.8,89.46,2429640.54,1.18,1.44,-0.1,-0.41,0.56,0,0.21,-117502,0.33,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:SPDN,SPDN,12.12,2411924,12.1,66.23,48.23,0.41,12.11,12.5,60.36,90.58,481236.72,0.09,0.12,-0.01,-0.03,0.5,0,0.33,-10401,0.31,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:SPXU,SPXU,30.8,3513616,30.6,74.6,55.24,1.52,30.62,33.64,60.18,87.5,1806789.6,0.56,0.8,0.0,-0.17,0.41,0,0.92,-99927,0.25,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:SPXS,SPXS,8.39,31195837,8.34,75.71,53.91,1.58,8.34,9.17,60.24,85.03,5230270.57,0.16,0.22,0.0,-0.05,0.79,0,0.97,-1057913,0.45,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:TWM,TWM,10.96,3857567,10.93,71.35,55.77,1.43,10.86,11.38,59.82,77.62,484521.42,-0.12,0.08,0.23,0.21,0.97,0,2.57,-244711,0.54,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
NASDAQ:GRPN,GRPN,11.54,921685,11.64,30.83,56.62,0.39,11.45,20.64,40.69,17.46,96112.12,-0.82,-1.35,0.91,0.56,0.94,0,3.26,-34891,0.44,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
AMEX:TZA,TZA,17.62,11242399,17.54,75.69,61.23,2.15,17.34,18.56,58.96,82.26,2109149.64,-0.34,0.13,0.58,0.51,0.45,0,3.83,-220457,0.3,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-19
