ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:GH,GH,29.86,871676,29.99,7.96,6.74,-1.91,30.5,35.91,48.6,14.59,11940.0,0.65,0.08,-0.49,-0.13,0.51,0,-3.01,929,0.26,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:IRDM,IRDM,26.77,267411,26.79,20.08,24.96,-0.45,26.86,29.36,37.73,17.15,8031.0,0.13,-0.0,-0.24,-0.26,0.92,0,-0.56,46,0.35,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:KTOS,KTOS,19.74,223855,19.78,3.29,2.54,0.33,19.73,23.39,48.72,2.74,52942.68,-0.05,-0.34,0.1,0.25,0.5,0,-0.5,-1230,0.23,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:BEAM,BEAM,24.2,232649,24.26,24.31,18.23,0.39,24.19,34.01,45.37,48.68,4844.0,0.35,-0.46,0.32,0.12,0.4,0,0.67,-1908,0.23,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:NTLA,NTLA,22.34,570922,22.39,14.76,12.86,0.16,22.25,28.62,46.14,44.11,18769.8,-0.33,-0.77,0.63,0.52,1.06,0,1.06,-14201,0.44,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:CDNA,CDNA,27.49,461148,27.53,48.96,42.87,-0.47,27.41,28.75,62.63,64.05,51351.32,2.32,2.88,0.15,-0.1,0.58,0,1.25,-14160,0.29,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:ZM,ZM,56.23,971858,56.22,27.72,18.64,-0.32,56.11,61.79,32.43,64.38,191710.2,-0.53,-0.84,0.9,0.83,0.68,0,1.33,-5271,0.37,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:INTU,INTU,645.78,459813,645.92,16.19,12.73,0.52,641.05,657.89,45.34,46.17,725862.34,-2.08,-1.64,17.68,15.74,0.89,0,1.75,-1205,0.37,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:AMD,AMD,140.64,28819244,140.51,71.75,71.57,0.59,139.75,159.52,51.49,52.94,8809676.46,-7.51,-7.04,4.04,4.24,0.67,0,1.82,-400620,0.42,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:CRSP,CRSP,48.0,525003,48.02,21.93,25.59,0.44,47.69,62.34,47.48,49.66,96000.0,-1.78,-2.59,1.0,0.54,0.64,0,1.91,-10293,0.35,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NYSE:TDOC,TDOC,7.05,3997467,7.05,37.64,30.52,0.21,7.05,10.63,31.67,51.21,36352.2,-0.58,-0.74,0.13,0.1,0.87,0,2.32,-62836,0.41,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:TWST,TWST,44.51,183424,44.43,53.92,41.79,1.09,44.01,63.17,49.82,74.28,24391.48,-0.84,-2.15,2.16,1.44,0.2,0,2.46,-8334,0.14,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:TER,TER,126.79,447094,126.59,71.43,69.52,1.67,124.94,157.16,51.58,42.38,63395.0,-6.66,-6.7,5.1,4.47,0.46,0,2.55,3902,0.17,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NYSE:MGA,MGA,39.09,1751103,39.02,84.73,77.29,0.86,38.72,47.06,38.42,84.79,1008494.62,-0.95,-1.38,0.98,0.75,1.38,0,2.6,31709,0.63,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:COIN,COIN,199.6,3054474,199.31,66.19,66.29,1.98,196.74,273.27,51.56,37.51,1276481.7,-8.31,-11.35,6.69,6.99,0.62,0,3.35,-11656,0.37,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NYSE:OKLO,OKLO,7.46,1554696,7.47,28.84,37.79,1.01,7.35,9.67,47.03,27.16,147702.49,-0.28,-0.39,0.34,0.42,0.97,0,3.54,19724,0.48,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
NASDAQ:VCYT,VCYT,32.44,924446,32.05,98.42,95.63,3.28,31.56,31.01,65.74,97.49,189047.04,0.95,1.87,2.6,3.02,1.35,0,6.57,23293,0.59,delayed_streaming_900,2,ark_previous,08-13-2024-13-58
