ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:TSLZ,TSLZ,18.65,1456431,18.64,46.25,35.63,-7.37,18.88,22.02,41.99,69.04,1958.25,-0.69,0.01,-1.76,-1.64,0.75,0,-6.56,-99866,0.35,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
NASDAQ:NVD,NVD,2.15,19347229,2.17,5.29,5.87,-10.42,2.2,2.99,44.66,30.39,20986.15,0.05,0.03,-0.25,-0.23,0.64,0,-4.66,-1227562,0.35,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:BOIL,BOIL,10.4,4052452,10.5,7.73,9.11,-1.42,10.69,11.64,56.81,7.84,3934.98,-1.34,-0.95,-0.29,-0.25,0.7,0,-4.1,-385018,0.29,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:TECS,TECS,6.72,5915634,6.76,7.06,7.47,-7.63,6.81,8.45,50.12,24.76,41943.75,0.37,0.36,-0.53,-0.42,0.71,0,-3.8,-519319,0.27,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:SOXS,SOXS,27.34,18106001,27.49,8.71,12.6,-7.45,27.77,36.36,46.49,27.6,590027.37,2.02,1.93,-2.35,-1.54,0.57,0,-3.2,-1305472,0.26,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:DUST,DUST,6.26,5677620,6.26,28.95,18.62,-1.79,6.3,7.14,42.7,43.47,293462.54,-0.08,-0.05,-0.17,-0.31,0.84,0,-2.95,-472539,0.33,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
NASDAQ:SQQQ,SQQQ,9.15,69335335,9.2,8.02,7.88,-5.62,9.26,10.91,53.04,19.77,809268.01,0.37,0.38,-0.52,-0.36,0.61,0,-2.24,-4175250,0.28,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:LABD,LABD,6.33,3989620,6.33,21.29,15.89,-3.21,6.37,7.15,51.93,39.25,77161.48,-0.14,-0.04,-0.21,-0.19,0.51,1,-1.94,-263893,0.2,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:QID,QID,41.43,2893846,41.56,5.65,6.24,-3.78,41.76,46.63,50.3,19.29,4144.0,1.19,1.21,-1.55,-1.07,0.54,0,-1.51,-173585,0.27,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:SPXS,SPXS,8.11,14330112,8.13,12.53,9.87,-3.51,8.16,9.12,54.86,33.74,11361.0,0.16,0.18,-0.27,-0.15,0.59,0,-1.22,-1832543,0.21,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:SPXU,SPXU,29.78,3257527,29.84,10.59,8.04,-3.54,29.95,33.47,55.02,32.24,10421.95,0.57,0.66,-0.96,-0.56,0.48,0,-1.1,-143797,0.23,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:SDS,SDS,23.68,3196780,23.72,10.84,8.63,-2.38,23.77,25.63,55.06,27.53,3552.48,0.32,0.37,-0.51,-0.29,0.46,0,-0.75,-389252,0.17,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:SDOW,SDOW,16.18,4943203,16.21,15.32,18.34,-1.82,16.23,17.31,58.2,39.93,537989.4,-0.01,0.12,-0.23,-0.02,0.51,0,-0.34,-366410,0.2,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
AMEX:UVXY,UVXY,28.79,2819000,28.72,85.46,83.33,-6.37,28.49,49.87,54.47,66.17,37440.0,3.27,2.75,-0.89,1.17,0.44,0,-0.24,-140541,0.17,delayed_streaming_900,2,etf_leverage,08-13-2024-11-31
