ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:IMNN,IMNN,1.19,7957951,11187058.0,212.60504201680678,2.5300000000000002,44532322
NASDAQ:PCSA,PCSA,1.7,12871,4858611.999999999,70.54705882352943,1.1993000000000003,10416310
NASDAQ:JTAI,JTAI,0.2989,8664018,4186137.0000000005,59.601873536299756,0.17814999999999998,33046685
NASDAQ:ATPC,ATPC,0.0875,7128856,6734587.000000001,34.62857142857144,0.030300000000000007,6240821
NASDAQ:PHAR,PHAR,6.82,9407,556515768.0128701,22.58064516129031,1.5399999999999991,13774
NASDAQ:HLIT,HLIT,11.75,1960766,1369370739.0,22.297872340425524,2.619999999999999,34478
NASDAQ:ISPO,ISPO,5.24,6238023,34306483.0,20.610687022900763,1.08,821083
NASDAQ:SFM,SFM,84.66,2860301,8506405571.999999,19.891330025986303,16.840000000000003,71630
NASDAQ:INVO,INVO,0.8605,146261,3277431.0,16.211504938988956,0.13949999999999996,529489
NASDAQ:TIVC,TIVC,0.702,106143866,4340882.0,15.37037037037037,0.1079,13683998
NASDAQ:BOF,BOF,0.81,103939,4867830.0,15.370370370370361,0.12449999999999994,789
NASDAQ:ENVB,ENVB,0.498,241004,3960877.0,14.87951807228917,0.07410000000000005,16797926
NASDAQ:MIRA,MIRA,2.29,1840559,33848200.0,14.847161572052395,0.33999999999999986,786347
NASDAQ:NWGL,NWGL,1.85,54142,244986847.0,13.513513513513512,0.25,200
NASDAQ:DFLI,DFLI,0.8361,248022,51126609.0,13.38356655902404,0.1119,1718026
NASDAQ:ALZN,ALZN,3.9899,30030,3184643.0,12.784781573473019,0.5101,400
NASDAQ:FFIV,FFIV,177.59,1055998,10408803838.0,12.613322822230986,22.400000000000006,21267
AMEX:MLSS,MLSS,0.9701,131472,74918604.99999999,12.359550561797764,0.11990000000000012,25021
NYSE:BYON,BYON,13.59,2985577,621739345.0,11.994113318616636,1.6300000000000008,161672
NASDAQ:TTOO,TTOO,4.74,255521,82448736.0,11.603375527426156,0.5499999999999998,27167
NASDAQ:STTK,STTK,4.26,170745,202566729.0,11.502347417840381,0.4900000000000002,10373
NASDAQ:VERO,VERO,0.88,4565777,5592602.0,11.36363636363636,0.09999999999999998,153135
NASDAQ:VRNS,VRNS,48.49,2177051,5406790936.0,11.363167663435755,5.509999999999998,21101
NYSE:HWM,HWM,82.85,3834897,33818000006.000004,11.044055522027769,9.150000000000006,12412
NASDAQ:HSDT,HSDT,0.721,141877,2136464.0,10.957004160887667,0.07900000000000007,4156
NASDAQ:BHAT,BHAT,0.94,280515,54894384.00000001,10.638297872340436,0.10000000000000009,100
NASDAQ:DTCK,DTCK,1.1301,174347,27688199.999999996,10.609680559242534,0.1198999999999999,29012
NASDAQ:IOBT,IOBT,1.32,30624,86962807.99999999,10.606060606060598,0.1399999999999999,391
NASDAQ:CALC,CALC,4.15,32209,44613150.0,10.602409638554205,0.4399999999999995,2317
NASDAQ:CAPR,CAPR,4.25,202219,135911877.00000003,10.58823529411765,0.4500000000000002,945
NASDAQ:ORGS,ORGS,0.56,78615,26438984.0,10.499999999999993,0.05879999999999996,34374
NASDAQ:RR,RR,1.58,17989410,104663000.0,10.126582278481006,0.15999999999999992,2732317
NASDAQ:RLAY,RLAY,8.215,969026,1090472829.0000002,9.92087644552647,0.8149999999999995,3900
OTC:IGGRF,IGGRF,11.0,2624,4060837447.2591805,9.882727272727267,1.0870999999999995,32400
NASDAQ:TRNR,TRNR,0.701,176487,971114.9999999998,9.84308131241085,0.06900000000000006,353049
NASDAQ:VSTE,VSTE,2.35,65668,70437729.0,9.361702127659562,0.21999999999999975,1000
NASDAQ:CRBU,CRBU,2.36,1097016,213149932.0,9.322033898305094,0.2200000000000002,494
NASDAQ:HPCO,HPCO,0.732,18091,2799070.0,9.26229508196721,0.06779999999999997,100
NASDAQ:ENTO,ENTO,0.6775,301962,1676873.9999999998,9.166051660516612,0.062100000000000044,1553
NYSE:PVL,PVL,1.54,48810,50819999.0,9.090909090909085,0.1399999999999999,300
NASDAQ:CVKD,CVKD,0.45,51021,7203811.0,8.888888888888884,0.03999999999999998,9976
NASDAQ:CVLT,CVLT,123.2,348443,5398270881.0,8.766233766233764,10.799999999999997,2890
NASDAQ:XPON,XPON,0.438,232891,3261019.9999999995,8.721461187214615,0.03820000000000001,1764
NASDAQ:TLRY,TLRY,1.83,31388933,1511290858.9999998,8.196721311475406,0.1499999999999999,1473943
NASDAQ:AISP,AISP,3.57,867304,84737613.99999999,8.12324929971989,0.29000000000000004,117483
NASDAQ:YYAI,YYAI,14.16,148724,37653548.0,8.050847457627123,1.1400000000000006,16936
NYSE:MHO,MHO,166.67,268062,4625368701.999999,7.9951400971980595,13.325500000000005,273
NASDAQ:LRE,LRE,2.04,27229,27829475.0,7.84803921568627,0.1600999999999999,32985
NYSE:FBMS,FBMS,30.63,188616,956229585.0000001,7.737512242899122,2.370000000000001,4161
NYSE:NMR,NMR,5.85,849835,17413533476.96424,7.692307692307695,0.4500000000000002,28277
