ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:VSEE,VSEE,2.43,2898374,35703555.0,155.1440329218107,3.77,1154987
NASDAQ:MKDW,MKDW,2.08,518658,7988880.000000001,106.73076923076921,2.2199999999999998,2001822
NASDAQ:AKAN,AKAN,1.45,56209,2779185.0,39.31034482758621,0.5700000000000001,3945051
NASDAQ:MBRX,MBRX,2.27,132255,5814666.0,30.396475770925107,0.69,600
NASDAQ:XCUR,XCUR,0.4949,5038055,4281452.999999999,27.82380278844212,0.13770000000000004,1162819
NASDAQ:ADGM,ADGM,9.05,127632,68205471.0,22.651933701657445,2.049999999999999,18655
AMEX:OSTX,OSTX,2.51,416598,63265099.99999999,19.123505976095636,0.4800000000000004,191452
NASDAQ:FTEL,FTEL,19.46,114651,216395000.0,18.139773895169565,3.5299999999999976,100
NASDAQ:VCNX,VCNX,4.86,648596,7699697.999999999,14.609053497942384,0.71,6647
AMEX:UVIX,UVIX,7.04,14883124,,13.920454545454538,0.9799999999999995,136900
NASDAQ:VERO,VERO,0.678,103745,4308846.0,13.23008849557522,0.0897,268
NASDAQ:AGBA,AGBA,1.99,247196,162663705.0,13.06532663316583,0.26,31468
NASDAQ:IAS,IAS,9.92,1632970,1592591560.0000002,13.004032258064527,1.290000000000001,1093
NASDAQ:TBIO,TBIO,4.22,242483,7101390.0,12.79620853080569,0.54,2993
NASDAQ:CNTM,CNTM,0.8401,299377,7936630.000000001,12.40328532317582,0.10420000000000007,2926
AMEX:UVXY,UVXY,28.79,17854854,,10.420284821118445,3.0,70719
NASDAQ:DASH,DASH,108.2,7965346,44244539145.00001,10.25878003696857,11.099999999999994,28899
NASDAQ:BJDX,BJDX,0.5,782109,281980.0,9.899999999999999,0.04949999999999999,63179
NASDAQ:AMZD,AMZD,14.2,279450,,9.647887323943669,1.370000000000001,2316
NASDAQ:WISA,WISA,2.06,317680,10138321.000000002,8.73786407766991,0.18000000000000016,2579
NASDAQ:ARDX,ARDX,5.5,7505064,1286871178.0,8.545454545454541,0.46999999999999975,34044
NASDAQ:LITM,LITM,0.5356,131773,10883299.999999998,8.289768483943242,0.044399999999999995,1230
AMEX:SOXS,SOXS,28.46,77706697,,8.186929023190437,2.3299999999999983,2495573
NASDAQ:BNZI,BNZI,0.1274,541564,3422139.0,7.849293563579263,0.009999999999999981,428
NYSE:LEV,LEV,0.6153,785457,139191655.0,7.752315943442237,0.047700000000000076,100
AMEX:TECS,TECS,6.99,15879281,,7.29613733905579,0.5099999999999998,27413
NYSE:NET,NET,74.4,5095901,25281138410.0,7.244623655913979,5.390000000000001,16278
AMEX:VIXY,VIXY,12.48,8725748,,7.2115384615384635,0.9000000000000004,43088
AMEX:EWV,EWV,10.87,34512,,7.175712971481152,0.7800000000000011,813
NASDAQ:LUXH,LUXH,0.14,2619586,16983780.0,7.142857142857128,0.009999999999999981,3237
AMEX:VXX,VXX,50.51,10034730,,6.909522866759062,3.490000000000002,21013
NASDAQ:BROG,BROG,0.8911,12497,78448215.0,6.733251038042861,0.05999999999999994,300
NASDAQ:KRNL,KRNL,11.25,39687,91438211.0,6.666666666666667,0.75,100
NASDAQ:VANI,VANI,1.21,68125,66523945.99999999,6.61157024793389,0.08000000000000007,100
AMEX:NVDQ,NVDQ,6.73,26060683,,6.537890044576515,0.4399999999999995,581536
NASDAQ:NVD,NVD,2.47,80542226,,6.477732793522255,0.1599999999999997,1615463
NASDAQ:VRAX,VRAX,1.13,356801,2668950.0,6.194690265486732,0.07000000000000006,23211
AMEX:FNGD,FNGD,26.6,3291193,,6.015037593984954,1.5999999999999979,11312
NYSE:BFLY,BFLY,1.01,1497480,212814928.0,5.940594059405946,0.06000000000000005,117
AMEX:SRTY,SRTY,22.36,3636562,,5.9033989266547415,1.3200000000000003,24146
AMEX:TZA,TZA,14.91,50543854,,5.835010060362167,0.8699999999999992,415084
NASDAQ:CETX,CETX,0.1778,778843,3014112.9999999995,5.736782902137225,0.010199999999999987,2480
NASDAQ:TIGO,TIGO,24.61,83557,4181271513.744,5.4449410808614385,1.3399999999999999,2810
NASDAQ:ONCO,ONCO,0.1488,803933,3322924.0,5.443548387096791,0.008100000000000024,7236
NYSE:EXK,EXK,3.64,13626136,874843023.1666666,5.219780219780218,0.18999999999999995,18489
NASDAQ:SQQQ,SQQQ,9.22,292296050,,5.206073752711482,0.47999999999999865,3725532
NASDAQ:CREG,CREG,0.861,261927,7221716.0,5.087108013937289,0.04380000000000006,100
NASDAQ:RVNC,RVNC,3.37,2074917,351991438.0,5.044510385756674,0.16999999999999993,2200
NYSE:TWLO,TWLO,56.27,3408874,9631833757.0,5.0293229074106955,2.8299999999999983,1901
NASDAQ:ANY,ANY,0.9999,356226,20547723.0,5.010501050105014,0.05010000000000003,330
