ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:GPAK,GPAK,0.168,3035517,4297326.0,-34.583333333333336,-0.05810000000000001,225939
AMEX:VINE,VINE,0.4369,1878206,6980010.0,-33.87502861066606,-0.14800000000000002,23484
NASDAQ:AVTX,AVTX,11.05,6735,11427136.000000002,-27.60180995475114,-3.0500000000000007,100
NYSE:TIXT,TIXT,6.48,321173,1782000090.5188472,-23.765432098765434,-1.54,1878
NYSE:PCOR,PCOR,67.22,2285871,9835940831.0,-22.642070812258254,-15.219999999999999,19141
NASDAQ:SMSI,SMSI,2.48,69599,26351157.000000004,-21.7741935483871,-0.54,3528
NASDAQ:INTC,INTC,29.05,107657429,123665846752.00002,-21.755593803786574,-6.32,3768730
NASDAQ:CONN,CONN,0.251,818787,6246379.0,-21.434262948207177,-0.053800000000000014,162254
NYSE:XPOF,XPOF,17.03,641188,816111706.0,-18.672930123311808,-3.1800000000000015,700
NASDAQ:GNLN,GNLN,0.2699,573501,1570638.0,-18.117821415339005,-0.04889999999999997,35844
NYSE:SNAP,SNAP,12.81,62366477,21021718822.999996,-17.48633879781421,-2.24,354609
NASDAQ:AMZU,AMZU,33.22,2795147,,-16.767007826610477,-5.57,18821
NASDAQ:AMZZ,AMZZ,26.36,428646,,-15.212443095599385,-4.009999999999998,1248
NASDAQ:LXRX,LXRX,2.02,3921635,730214396.9999999,-14.851485148514854,-0.30000000000000004,37258
NASDAQ:BIMI,BIMI,0.48,5984535,5562993.0,-14.79166666666667,-0.07100000000000001,23104
NASDAQ:NEON,NEON,2.81,69096,43160143.0,-14.590747330960859,-0.41000000000000014,348
NASDAQ:ADV,ADV,3.83,939806,1233947594.0,-14.099216710182768,-0.54,1300
AMEX:PHGE,PHGE,0.204,608011,14240514.0,-13.823529411764696,-0.028199999999999975,157591
NYSE:ETWO,ETWO,4.46,1847315,1526485091.0,-13.677130044843047,-0.6099999999999999,300
NASDAQ:LSH,LSH,3.88,2157350,29100000.000000004,-13.659793814432986,-0.5299999999999998,7946
NYSE:TPC,TPC,23.72,633203,1240180254.0,-13.532883642495774,-3.2099999999999973,669
NASDAQ:COOT,COOT,0.8399,4375,19505924.0,-13.180140492915825,-0.11070000000000002,98679
NASDAQ:HUGE,HUGE,0.093,86284004,3760702.9999999995,-12.90322580645161,-0.011999999999999997,751859
NASDAQ:TEAM,TEAM,173.24,2384621,45094054599.00001,-12.71646271069037,-22.03,31728
NASDAQ:TWG,TWG,1.05,2747634,30449999.999999996,-12.380952380952381,-0.13,10002
NASDAQ:ANAB,ANAB,34.08,266419,931019488.0000001,-11.971830985915489,-4.079999999999998,570
NASDAQ:SSKN,SSKN,3.57,6751,12516748.0,-11.484593837535007,-0.4099999999999997,100
NASDAQ:NXTT,NXTT,1.92,1519337,5040249.000000001,-11.458333333333332,-0.21999999999999997,8047
NASDAQ:NRSN,NRSN,0.68,4120805,12265164.0,-11.441176470588248,-0.07780000000000009,4560
AMEX:MWG,MWG,0.5299,466006,16342100.0,-11.304019626344605,-0.059900000000000064,4000
NASDAQ:NUZE,NUZE,5.29,1060246,12629525.999999998,-11.153119092627596,-0.5899999999999999,11961
NASDAQ:RDHL,RDHL,0.76,360101867,24218916.0,-10.947368421052637,-0.08320000000000005,1433441
NASDAQ:ESLA,ESLA,1.77,58767,64386038.0,-10.734463276836156,-0.18999999999999995,4274
NASDAQ:CNTG,CNTG,0.335,63520,9715046.0,-10.44776119402986,-0.03500000000000003,933
AMEX:BQ,BQ,0.2899,511435,1758727.0,-9.899965505346673,-0.028700000000000003,3691
NASDAQ:ATPC,ATPC,0.158,138412865,12160741.0,-9.81012658227849,-0.015500000000000014,683521
AMEX:INTT,INTT,10.04,112141,125395996.99999999,-9.362549800796808,-0.9399999999999995,100
AMEX:BULZ,BULZ,128.89,144571,,-9.170610598184494,-11.819999999999993,4396
NASDAQ:NCNC,NCNC,0.232,10098268,31419864.0,-9.051724137931041,-0.02100000000000002,115662
NYSE:PRLB,PRLB,33.53,177743,848847815.0,-9.036683566954968,-3.030000000000001,937
NYSE:CTOS,CTOS,4.66,922590,1120348622.0,-9.012875536480685,-0.41999999999999993,1715
NASDAQ:OPEN,OPEN,2.13,36257922,1473056935.0,-8.920187793427228,-0.18999999999999995,279614
NASDAQ:CLAR,CLAR,5.77,281207,220980386.00000003,-8.665511265164644,-0.5,1928
NASDAQ:LICN,LICN,2.35,183461,88712495.99999999,-8.510638297872347,-0.20000000000000018,2300
NASDAQ:AMZN,AMZN,184.07,70427428,1915547899482.0,-8.458738523387838,-15.569999999999993,543304
NASDAQ:ATXG,ATXG,0.7164,10248,4329756.0,-8.361250697934123,-0.059900000000000064,1438
NYSE:GTLS,GTLS,153.85,558608,6584940365.0,-8.352291192720179,-12.849999999999994,137
NYSE:DNA,DNA,0.37,51811814,825858176.9999999,-8.243243243243235,-0.03049999999999997,262013
NASDAQ:IMNN,IMNN,1.34,3571021,12597191.0,-8.208955223880604,-0.1100000000000001,129010
AMEX:SOXL,SOXL,35.0,163864189,,-8.171428571428569,-2.8599999999999994,6569429
