ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
AMEX:SOXL,SOXL,35.0,163864189,,-7.885714285714281,-2.759999999999998,6585658
NASDAQ:NVDA,NVDA,109.21,523451674,2686565977478.0,-3.708451606995694,-4.049999999999997,4952942
NASDAQ:AKAN,AKAN,1.45,56209,2779185.0,33.793103448275865,0.49,4848389
NASDAQ:SQQQ,SQQQ,9.22,292296050,,4.989154013015174,0.4599999999999991,4804911
NASDAQ:INTC,INTC,29.05,107657429,123665846752.00002,-21.85886402753873,-6.350000000000001,3787732
NASDAQ:VSEE,VSEE,2.43,2898374,35703555.0,192.63374485596702,4.680999999999999,3595612
AMEX:SOXS,SOXS,28.46,77706697,,8.257203092059022,2.349999999999998,3454571
NASDAQ:XCUR,XCUR,0.4949,5038055,4281452.999999999,37.34087694483733,0.18479999999999996,2732584
NASDAQ:NVD,NVD,2.47,80542226,,8.097165991902823,0.19999999999999973,2427783
NASDAQ:MKDW,MKDW,2.08,518658,7988880.000000001,66.82692307692308,1.3900000000000001,2364751
NASDAQ:TSLL,TSLL,10.26,45877576,,-1.6569200779727087,-0.16999999999999993,2116762
NASDAQ:BJDX,BJDX,0.5,782109,281980.0,18.199999999999996,0.09099999999999997,2062175
NASDAQ:TQQQ,TQQQ,63.36,105345154,,-4.940025252525257,-3.1300000000000026,1605591
NASDAQ:RDHL,RDHL,0.76,360101867,24218916.0,-10.52631578947368,-0.07999999999999996,1433899
NASDAQ:PRST,PRST,0.0332,79743675,5274827.0,-3.6144578313253004,-0.0011999999999999997,890676
NASDAQ:NVDL,NVDL,51.45,44179179,,-7.774538386783285,-4.0,843571
AMEX:NVDQ,NVDQ,6.73,26060683,,7.87518573551262,0.5299999999999994,766080
NASDAQ:MAXN,MAXN,0.1788,74872963,9960153.0,0.055928411633118985,0.00010000000000001674,755774
NASDAQ:HUGE,HUGE,0.093,86284004,3760702.9999999995,-12.90322580645161,-0.011999999999999997,751859
NASDAQ:ATPC,ATPC,0.158,138412865,12160741.0,-10.25316455696202,-0.016199999999999992,701273
AMEX:IWM,IWM,216.58,71507836,,-1.8284236771631763,-3.960000000000008,602248
AMEX:TNA,TNA,43.45,45464230,,-5.799769850402769,-2.520000000000003,594002
NASDAQ:QQQ,QQQ,459.66,56652599,,-1.5924813992951419,-7.32000000000005,585315
NASDAQ:TLT,TLT,95.31,77254240,,1.0387157695939513,0.9899999999999949,557500
NASDAQ:FFIE,FFIE,0.3076,38007573,135815048.0,-1.36540962288686,-0.0041999999999999815,557030
AMEX:TZA,TZA,14.91,50543854,,6.03621730382294,0.9000000000000004,555481
NASDAQ:AMZN,AMZN,184.07,70427428,1915547899482.0,-8.44244037594393,-15.539999999999992,548714
NASDAQ:PSIG,PSIG,0.9295,300123,22570991.0,-6.379774072081766,-0.05930000000000002,523530
NASDAQ:IBIT,IBIT,36.07,37068050,,2.1901857499306883,0.7899999999999991,490791
NASDAQ:TSLA,TSLA,216.86,83861898,692789714943.0,-0.7193581112238321,-1.5600000000000023,480182
NASDAQ:PITA,PITA,3.81,213144,50471839.0,-0.2624671916010559,-0.010000000000000231,454024
NASDAQ:NVDD,NVDD,8.6,3029607,,3.6046511627907036,0.3100000000000005,451660
NASDAQ:ADAP,ADAP,1.27,1780158,324479678.0,0.7874015748031503,0.010000000000000009,451493
AMEX:SPY,SPY,543.01,76428732,,-1.0810113994217427,-5.8700000000000045,443034
NASDAQ:SOFI,SOFI,7.16,50280359,7569717553.999999,-3.0726256983240186,-0.21999999999999975,405626
NASDAQ:TSLT,TSLT,14.04,6205318,,-1.4957264957264893,-0.20999999999999908,380472
NYSE:NIO,NIO,4.06,88261378,8379286221.9456005,-1.7241379310344682,-0.0699999999999994,375924
NYSE:SNAP,SNAP,12.81,62366477,21021718822.999996,-17.48633879781421,-2.24,354609
AMEX:TMF,TMF,54.48,13759379,,2.8634361233480217,1.5600000000000023,345051
AMEX:SPXS,SPXS,7.96,85907476,,3.5175879396984957,0.28000000000000025,334578
AMEX:NVDX,NVDX,12.5,13881498,,-7.599999999999994,-0.9499999999999993,325236
NASDAQ:AMD,AMD,132.54,94724576,214513584612.00003,0.762034102912343,1.0100000000000193,321377
AMEX:UVIX,UVIX,7.04,14883124,,14.34659090909092,1.0100000000000007,319264
AMEX:ETH,ETH,2.94,17839568,,1.0204081632653146,0.03000000000000025,308011
NYSE:PLTR,PLTR,26.08,31189357,58077744883.0,-3.2592024539877222,-0.8499999999999979,300326
NYSE:TSM,TSM,158.18,21095641,758589822993.75,-3.9385510178278023,-6.230000000000018,291610
AMEX:FXI,FXI,25.32,34544880,,-0.5924170616113689,-0.14999999999999858,287125
NASDAQ:OPEN,OPEN,2.13,36257922,1473056935.0,-8.45070422535211,-0.17999999999999994,282994
NASDAQ:BITF,BITF,2.46,23278255,980524050.0348836,-3.2520325203252063,-0.08000000000000007,282366
NYSE:DNA,DNA,0.37,51811814,825858176.9999999,-7.540540540540536,-0.02789999999999998,262513
