"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","home","tb","tor","0","0","0","1","0","2","0"
"2024-03-29","home","tb","tor","0","0","0","0","0","3","0"
"2024-03-30","home","tb","tor","1","0","0","0","0","1","1"
"2024-03-31","home","tb","tor","0","0","0","1","0","2","0"
"2024-04-01","home","tb","tex","0","0","0","0","0","1","0"
"2024-04-02","home","tb","tex","0","0","0","0","0","2","0"
"2024-04-03","home","tb","tex","1","0","0","0","0","0","0"
"2024-04-05","away","col","tb","2","0","0","0","1","3","2"
"2024-04-06","away","col","tb","1","0","0","0","1","0","1"
"2024-04-07","away","col","tb","0","0","0","0","0","0","0"
"2024-04-13","home","tb","sf","0","0","0","0","0","1","0"
"2024-04-12","home","tb","sf","0","0","0","0","0","1","1"
"2024-04-10","away","laa","tb","3","0","0","0","3","1","0"
"2024-04-09","away","laa","tb","0","1","0","0","0","1","1"
"2024-04-08","away","laa","tb","0","0","0","0","0","1","0"
"2024-04-17","home","tb","laa","0","0","0","0","0","0","0"
"2024-04-19","away","nyy","tb","1","0","0","0","0","0","0"
"2024-04-18","home","tb","laa","0","0","1","0","2","1","1"
"2024-04-20","away","nyy","tb","0","0","0","0","0","1","0"
"2024-04-15","home","tb","laa","0","0","0","0","0","1","0"
"2024-04-21","away","nyy","tb","0","0","0","0","0","2","1"
"2024-04-16","home","tb","laa","0","0","0","0","0","1","0"
"2024-04-14","home","tb","sf","1","1","0","1","2","1","0"
